Company,Industry,Type,Region,Fit,Angle,Signal
Playtika,Gaming,Enterprise,US/Global,10,~$1.2B/yr D2C across social-casino: routing + LPMs + failover protect highest-margin line,"Record D2C $291.8M Q1'26 +62.8% YoY, 39% of total, 40% target"
Scopely (Savvy),Gaming,Enterprise,US/Global,10,"Unify enlarged multi-store D2C portfolio, route to lift auth, cut processing + fraud orchestration",Closed $3.5B Niantic (May'25); Monopoly Go $5B D2C + PGO on separate stacks ~10% fees
Sleeper,Gaming,Medium,San Francisco CA,10,Auth-rate + LPMs en rails de depósito/payout,Expansión prediction markets/picks 2025-26
Spotify,Media & Streaming,Enterprise,US/Global,10,Orchestrate web-billing across PSPs to recapture 30% IAP + lift auth on price-hike churn cliff,Apple approved US external payment links May'25; US price hike to $12.99 Feb'26
Strava,Health & Wellness,Enterprise,US/Global,10,They're wiring LPMs one-by-one; Yuno delivers every LPM via one API for IPO-era monetization,"Launched Pix in Brazil (#2 mkt) Feb'26; confidential ~$3B IPO filing Jan'26, ~$500M ARR"
Topstep,Fintech & Crypto,Medium,Chicago IL,10,Auth en eval fees + payouts,Plus500 en pláticas de adquisición 2025
TripleTen,Education,Medium,Cheyenne WY,10,Pix/OXXO/MX cards + installments via un API,División LatAm (MX/Chile/PR) 2025
True Classic,E-commerce & Retail,Medium,Los Angeles CA,10,Routing cross-border + LPMs + dunning en tier membership,Intl 25%+ del e-comm (UK/UAE/CA) 2025
Underdog Fantasy,Gaming,Medium,Brooklyn NY,10,Redundancia PSP + smart routing en rails de depósito,Triplicó valuación; prediction markets Sep'25
Vinted (US),Marketplace,Enterprise,US/Global,10,Greenfield US/cross-border build = the moment for orchestration: US acquirers + EU LPMs + payouts,'Major' US expansion Jan'26; UK-US cross-border pilot; building Vinted Pay
Whatnot,Marketplace,Enterprise,US/Global,10,"Hyper-scaling live-shopping GMV across US/UK/EU = routing, redundancy, global LPMs + seller payouts",$225M Series F at $11.5B (Oct'25) for intl expansion; GMV >$6B 2x YoY; EU sellers +600%
Whoop,Health & Wellness,Enterprise,US/Global,10,LPMs + auth-rate routing to protect $1.1B run-rate in card-light emerging markets,$575M Series G at $10.1B (Mar'26) to fund EU/GCC/LatAm/Asia; ~60% new sales intl
Accor,Travel & Experiences,Enterprise,France,10,"Smart routing + LPMs 110 países, un API",
Airalo,Telco & Connectivity,Enterprise,Singapore,10,Un API rails locales por mercado + auth cross-border,
Allegro,Marketplace,Enterprise,Poland,10,Routing + CEE LPMs + marketplace payouts,
Anghami,Media & Streaming,Enterprise,UAE,10,"Smart routing + LPMs MENA, reduce churn",
Bolt,Mobility & Energy,Enterprise,Estonia,10,Smart routing + failover + rider-pay + payout un API,
bolttech,Fintech & Crypto,Enterprise,Singapore,10,Orchestration mirror modelo multi-país + LPMs,
Codashop (Coda),Digital Products,Enterprise,Singapore,10,LPM aggregation + failover across fragmented regional rails,
Crypto.com,Fintech & Crypto,Enterprise,Singapore,10,Card-auth routing + acquirer failover global,
Despegar (Decolar),Travel & Experiences,Enterprise,Argentina/Brazil,10,Routing cross-border + decline recovery high AOV,
EasyPark Group,Mobility & Energy,Enterprise,Sweden,10,Route por mercado + cortar tap-to-park churn,
Emirates,Travel & Experiences,Enterprise,UAE,10,Un API global LPMs + smart-route high-ticket,
ExpressVPN,SaaS,Enterprise,UK,10,"LPMs + retry logic en renovaciones, 105 países",
FWD Group,Fintech & Crypto,Enterprise,Hong Kong,10,Unificar PSPs por mercado + cortar churn premiums,
Garena (Sea),Gaming,Enterprise,Singapore,10,LPMs + routing para wallets/cash emergentes,
Glovo,Food & Delivery,Enterprise,Spain/EMEA,10,Auth cross-border + payout orchestration 25+ países,
Grab,Mobility & Energy,Enterprise,SEA,10,Multi-country PSP redundancy + LPM 8 mercados SEA,
Grammarly,SaaS,Enterprise,US,10,Smart routing + dunning para recuperar churn en monthly,
iFood,Food & Delivery,Enterprise,Brazil,10,"Pix + card routing, failover, restaurant/courier payouts",
LATAM Airlines,Travel & Experiences,Enterprise,Chile,10,Local acquiring + installment routing LatAm,
MakeMyTrip,Travel & Experiences,Enterprise,India,10,UPI/card routing + redundancia outbound,
NordVPN,SaaS,Enterprise,Lithuania,10,Cross-border auth-rate lift + failover en 100+ países,
Shutterstock,Digital Products,Enterprise,US,10,Subscriptions/dunning + payouts a contribuidores globales,
Smart Fit,Health & Wellness,Enterprise,Brazil,10,"Route por país + cortar churn dues, Pix/boleto/OXXO",
Supercell,Gaming,Enterprise,Finland,10,Orquestar web-store billing + LPMs 190 mercados,
Swiggy,Food & Delivery,Enterprise,India,10,UPI optimization + redundancia + courier payouts,
Talabat,Food & Delivery,Enterprise,MENA,10,Multi-country routing + LPM (mada/KNET) + courier payouts,
Trip.com Group,Travel & Experiences,Enterprise,China,10,Cross-border auth routing + LPM cada corredor,
Viu (PCCW),Media & Streaming,Enterprise,Hong Kong,10,Un API SEA LPMs + dunning para cortar churn,
Anthropic,AI,Enterprise,US/Global,9,Stripe-only risk at $30B during intl hypergrowth = redundancy/failover + smart routing,"Subs doubled early'26, ~$30B run-rate, Bengaluru office; Stripe single-PSP (Apr'26)"
Baseten,AI,Medium,US/Global,9,Hypergrowth metered inference needs PSP failover + smart routing so declines never stall revenue,"$1.5B round at ~$13B (Jun'26); ~$600M run-rate +1,900%; usage-based billing"
Captions / Mirage,AI,Medium,US/Global,9,Scaling into Asia + web checkout off 30% IAP: orchestrate local methods + routing,"$75M (Mar'26) to push into Asia + web suite; ~20M users, heavy IAP"
ElevenLabs,AI,Enterprise,US/Global,9,"Add redundancy + local acquiring (Pix, UPI) to lift intl auth pre-public-scrutiny","$500M Series D at $11B (Feb'26), 'eyes IPO'; $500M ARR, 14+ GTM cities; Stripe-only+IAP"
Fireworks AI,AI,Medium,US/Global,9,10k-customer global inference API: LPMs + auth-rate routing to monetize devs in every region,"$315M ARR (Feb'26) +416%, 10k+ companies, raising at $15B; usage billing"
Gamma,AI,Medium,US/Global,9,100% Stripe dependency on majority-intl revenue = SPOF; add redundancy + local-acquirer routing,$100M+ ARR + $68M Series B at $2.1B (Nov'25); 70M users majority-intl; Stripe-only
HeyGen,AI,Medium,US/Global,9,Already proved auth = revenue; multi-PSP routing + local acquiring across 140 mkts w/ failover,"Stripe case study: +21% auth; $100M ARR ~3x YoY, 140+ languages; Stripe-only+IAP"
Higgsfield,AI,Medium,San Francisco CA,9,Credit billing + routing intl + failover en volumen spiky,"$1.3B val Ene'26, $200M ARR"
Mercor,AI,Medium,US/Global,9,"One-API payouts layer unifies Stripe Connect+Wise+local rails w/ failover, higher delivery, lower FX",$350M Series C at $10B (Oct'25); paying 30k+ experts $2M+/day on Stripe Connect+Wise
Midjourney,AI,Enterprise,US/Global,9,$500M across 150+ ctys on single PSP = concentration risk; failover + per-market routing,~$500M rev across 150+ ctys; Stripe's most globally distributed merchant
Suno,AI,Medium,US/Global,9,Freshly funded Stripe-only grower turning away intl cards; local methods + routing convert demand,$400M Series D at $5.4B (Jun'26); 2M+ subs; Stripe-only + USD-only rejecting intl cards
Together AI,AI,Medium,US/Global,9,Dual usage-based lines to global startups: one orchestration layer for local acquiring + decline recovery,"$1B annualized rev (Feb'26), raising ~$1B at $7.5B; self-serve 25+ cities"
Tolan (Portola),AI,Medium,San Francisco CA,9,App IAP hipergrowth → web-billing + dunning,$1M→$12M ARR en 4 meses (2025)
Codeway,AI,Enterprise,Turkey,9,IAP pesado + web-billing migration + tarjetas locales,
Genspark,AI,Medium,US,9,Usage-credit billing + cross-border routing multilingüe,
Janitor AI,AI,Medium,US,9,Decline recovery + PSP failover vertical high-risk,
Kling AI (Kuaishou),AI,Enterprise,China,9,LPM cross-border + cascading PSPs biller global China-HQ,
Lensa (Prisma Labs),AI,Medium,US/Cyprus,9,Redundancia PSP en picos virales + IAP→web margin,
Leonardo.ai,AI,Medium,Australia,9,LPMs + IAP routing base credit self-serve + marketplace payouts,
Linky AI,AI,Medium,US/Asia,9,IAP fee leakage; route web checkout para cortar store tax,
Murf AI,AI,Enterprise,India,9,Subs cross-border un PSP; UPI/wallets + auth lift,
QuillBot,AI,Medium,US,9,"Cross-border auth-rate routing en single PSP, 50M+ users",
Scatter Lab (Zeta),AI,Medium,Korea,9,Subs companion cross-border; LPMs JP/US al expandir,
Speechify,AI,Enterprise,US,9,Fuga IAP Apple + web checkout; cut IAP + LPMs,
Voicemod,AI,Medium,Spain,9,Subs globales single-PSP fugando LPMs; one-time + recurring,
Wrtn (Crack),AI,Medium,Korea,9,Scaler subscripción cross-border; LPMs JP/US pre-IPO,
Allegiant / Sun Country,Travel & Experiences,Enterprise,US/Global,9,Fresh M&A = two stacks to consolidate going cross-border first time: unify acquirers + LatAm LPMs,~$1.5B Sun Country acquisition (May'26); +18 intl destinations (MX/Central America/Caribbean)
Alo Yoga,E-commerce & Retail,Enterprise,US/Global,9,"Premium DTC pushing into UK/France: localized checkout, EU LPMs, auth lift on cross-border",4 new UK stores + Champs-Elysees Paris flagship 2026
ARB Interactive (Modo),Gaming,Medium,Miami FL,9,Redundancia PSP en rails coin-purchase + fraude,Adquirió Publishers Clearing House (Jun'25)
BetterHelp (Teladoc),Health & Wellness,Enterprise,US/Global,9,LPMs for non-English expansion + dunning to stem paying-user losses,Launched France (first non-English mkt) 2025; intl rev +12% but lost ~5% payers
Bloom Nutrition,E-commerce & Retail,Medium,Los Angeles CA,9,Crecer sub share via dunning/retry; LPMs + auth-rate,Nutrabolt +$160M (Ene'25); +100% YoY
Boatsetter,Marketplace,Medium,Fort Lauderdale FL,9,Split payouts a owners y captains via un API,Bookings high-ticket + payouts duales
Bubble Skincare,E-commerce & Retail,Medium,New York NY,9,LPMs intl + local acquiring; sub replenishment,Cruzó $100M + expansión global 2025
Bumble,Creator & Social,Enterprise,US/Global,9,Smart routing + dunning recovers involuntary churn; IAP→web reclaims store cut,Q1'26 rev -14%; paying users -21% YoY to 3.2M
Caraway,E-commerce & Retail,Medium,New York NY,9,Routing high-AOV + BNPL en sets $300+,Expansión producto+retail 2024-25
Chewy,E-commerce & Retail,Enterprise,US/Global,9,$11B+ pet e-com w/ heavy Autoship subs entering first foreign mkt: port recurring billing without re-integrating,Announced first-ever international market launch (next few quarters)
Coinbase,Fintech & Crypto,Enterprise,US/Global,9,"Global card-deposit/on-ramp + USDC settlement: smart card-auth routing, redundancy, on/off-ramp",Citi partnership incl. 'payments orchestration' (Oct'25); Nium USDC across 190+ ctys
Comun,Fintech & Crypto,Medium,New York NY,9,LPMs en mercados receptores + payouts cross-border,50x crecimiento rev; Serie A 2025
CoreWeave,SaaS,Enterprise,US/Global,9,Newly public multi-region cloud: unify cross-border collections + acquirer redundancy at IPO scale,"Public (Mar'25), $5.1B 2025 rev, $3.5B European expansion (UK HQ + Nordics/Spain DCs)"
Corsair Gaming,Gaming,Enterprise,US/Global,9,5+ brand storefronts EMEA-heavy = fragmented multi-PSP estate; consolidate to one API w/ routing+LPMs,"Closed Fanatec (Sep'24); 5+ brand storefronts; FY25 ~$1.47B, EMEA ~40%"
Coursera,Education,Enterprise,US/Global,9,Routing + LPMs to convert huge India/global registered base into paid Coursera Plus,"Q1'26 consumer rev +10% 4th straight; record 7.6M new learners, 205M cumulative"
Crunchyroll (Sony),Media & Streaming,Enterprise,US/Global,9,Single integration for APAC LPMs to monetize aggressive new-market localization,21M subs +25% YoY; launching Taiwan & South Korea 2026; Thai localization
Current,Fintech & Crypto,Medium,New York NY,9,Auth de depósitos + routing top-ups con failover,$80M raise + 90%+ growth (fin 2025)
Cuts Clothing,E-commerce & Retail,Medium,Las Vegas NV,9,Sub billing infra + auth-rate/redundancia PSP,Piloto subscripción + crecimiento cross-border 2025
DigitalOcean,SaaS,Enterprise,US/Global,9,Public cloud on card-based self-serve for SMBs/devs worldwide: high decline volume = routing + recovery,"Q1'26 rev $258M +22%, crossed $1B run-rate; AI ARR +221%"
Discord,Gaming,Enterprise,US/Global,9,"Migrate Nitro/Shop to smart-routed web checkout, cut store leakage, add emerging-mkt LPMs + redundancy","Hiring Dir Global Payments + eng (Jun'26) after confidential S-1 (~$15B, Jan'26)"
Eneba,Gaming,Enterprise,US/Global,9,Collapse Checkout.com+Nuvei into one API w/ smart routing + auto-failover,Raised €10M (Nov'25); runs Checkout.com AND Nuvei simultaneously
eToro US,Fintech & Crypto,Enterprise,US/Global,9,"Consolidate cards, LPMs, fiat on/off-ramp into one layer w/ failover + higher deposit auth",CEO weighing payments/banking expansion; NY crypto Apr'26 (48 states)
Faire,Marketplace,Enterprise,US/Global,9,"B2B two-sided flows pre-IPO: de-risk single-PSP, lift auth, standardize cross-border brand payouts",$5.2B tender (Nov'25) IPO warm-up; expanding to 14 EU countries
Fanbase,Creator & Social,Medium,Atlanta GA,9,Failover + LPMs al escalar; reduce churn en subs,"Rediseño 2025, push monetización"
Figma,SaaS,Enterprise,US/Global,9,Single-PSP (Stripe) dependency on global self-serve seats = cross-PSP redundancy + LPM expansion,Worked w/ Stripe May'25 to overhaul billing for local currencies; newly public
Flo Health,Health & Wellness,Enterprise,US/Global,9,Heavy 30% IAP leakage → IAP-to-web migration + LPMs to monetize non-US pools,"300M+ registered/6M paid, $275M rev; #1 women's health, overwhelmingly mobile/IAP"
Fomo,Fintech & Crypto,Medium,New York NY,9,Auth en on-ramp al escalar global,$75M Serie B (Jun'26); 625K traders
FTMO,Fintech & Crypto,Medium,US/Global,9,Already proved routing lifts US auth 20%; extend across multiple PSPs for failover + global payouts,Re-entered US via OANDA (Dec'25); Nuvei case: +20% US card approvals
Fubo,Media & Streaming,Enterprise,US/Global,9,PSP redundancy + routing for new SKUs + cross-border (US/Canada) sports-streaming launches,Launched skinny 'Fubo Sports' Sep'25; DAZN partnership; Canada expansion
FundedNext,Fintech & Crypto,Medium,US/Global,9,50/30/20 payout mix scaling 3x across 170+ ctys: card auth lift + multi-rail payout routing,Q1'26 payouts $42.7M +293% YoY; launched FNmarkets brokerage
G2A,Gaming,Enterprise,US/Global,9,Orchestrate multi-LPM/anti-fraud stack behind one API w/ failover on high-chargeback goods,Deployed Forter for fraud + optimization globally for 30M users
GetYourGuide (US),Travel & Experiences,Enterprise,US/Global,9,Recent single-PSP commitment scaling geos: redundancy + LPMs + tour-operator payouts,Partnered Checkout.com Jan'25; ~$194M raise for global+AI; NA expansion
Goli Nutrition,E-commerce & Retail,Medium,Los Angeles CA,9,Routing cross-border + LPMs para footprint 115 países,Target nacional + 115 países 2025-26
Grindr,Creator & Social,Enterprise,US/Global,9,UPI/Pix + PSP redundancy capture non-US users + protect new high-ARPU tier from auth drop-off,FY26 roadmap: India + Brazil expansion + premium AI 'Edge' tier
Guesty,Travel & Experiences,Enterprise,US/Global,9,"Payments-company-in-a-PMS prepping IPO: routing, redundancy, LPMs, cross-border host payouts","$130M Series F at $900M (KKR), 2025 IPO intent; 80+ ctys; scaling GuestyPay"
Hipcamp,Marketplace,Medium,San Francisco CA,9,Payouts host + LPMs al expandir geografía,Duplicó inventario a 565K sites (May'25)
Hopper (HTS),Travel & Experiences,Enterprise,US/Global,9,Multi-ctry multi-partner fintech: one layer scales each new partner geo without re-integrating PSPs,"~90% B2B, ~20 partners US/CA/JP/LatAm; Capital One carve-out (Mar'26)"
Hostaway,Travel & Experiences,Enterprise,US/Global,9,"New payments product across 90+ ctys: one integration for local methods, failover, host payouts",$365M raise at $1B (Dec'24) for EU; 90+ ctys; launched embedded financial services
INK Games,Gaming,Medium,Austin TX,9,IAP→D2C web + routing al escalar,Serie B cerrada 2025
JetBlue,Travel & Experiences,Enterprise,US/Global,9,Deep transatlantic + LatAm push: EU local methods + multi-currency w/ smart routing on high-ticket fares,13 EU routes 2026 (Milan May'26) + 11-dest Ft Lauderdale LatAm buildout
Jinx,E-commerce & Retail,Medium,Los Angeles CA,9,Auth-rate + LPMs; routing en renovaciones sub,Push retail manteniendo sub DTC 2025
Learner,Education,Medium,Philadelphia PA,9,Automatización payout tutor + checkout padres,Escalando tutoring K-12 post-2024
Lime,Mobility & Energy,Enterprise,US/Global,9,29-ctry operator going public under cost pressure: routing improves the unit economics investors scrutinize,Filed Nasdaq IPO May'26; 230 cities/29 ctys; going-concern doubt
Lovable,SaaS,Medium,US/Global,9,Global self-serve PLG w/ constant top-ups: routing + failover on high-frequency card auths,0→$300M ARR <12mo; per-message credit billing
Maelys,E-commerce & Retail,Medium,New York NY,9,Redundancia PSP + auth-rate en spikes virales,Top-3 fastest-growing DTC beauty 2025
Momentous,Health & Wellness,Medium,Park City UT,9,Retry/dunning subscripción + redundancia PSP,"Inc. 5000 #392 (2025); 1,258% 3yr"
Moomoo (Futu),Fintech & Crypto,Enterprise,US/Global,9,One integration for per-market LPMs + card acquiring + routing to fund accounts in each new ctry,Crypto to Texas (May'26); Canada funded accts +150% YoY; >50% accts outside HK
MoonPay,Fintech & Crypto,Enterprise,US/Global,9,Card-funded on-ramp at IPO scale across 160+ ctys: multi-acquirer auth routing + failover,Launched bank/fintech tokenized-asset platform (May'26); acquisition spree; IPO prep
My Funded Futures,Fintech & Crypto,Medium,Frisco TX,9,Auth en fees + failover PSP en eval alto volumen,Escalado rápido 2024-25
Navan,Travel & Experiences,Enterprise,US/Global,9,Post-IPO margin scrutiny + booming card volume → auth lift + cross-border cost = defensible take-rate,IPO'd Nasdaq Oct'25 (~$960M); card volume $3.7B +35% YoY
Netflix,Media & Streaming,Enterprise,US/Global,9,Smart routing + dunning/retry to cut involuntary churn when price hikes spike declines,"US price hike Jan'26 (Std $19.99, Prem $26.99); ARPU/retention focus"
Netlify,SaaS,Medium,US/Global,9,Fresh consumption-billing transition = new failed-payment surface; retry/recovery use case,All new accounts → credit-based usage pricing (Sep'25)
Norwegian Cruise Line,Travel & Experiences,Enterprise,US/Global,9,High-ticket multi-currency global bookings: lift approvals + PSP redundancy/LPMs,FY25 rev $9.8B; 17 new ships through 2037 across 3 brands
Notion,SaaS,Enterprise,US/Global,9,In-house billing team owns intl currency = direct buyer; lift auth on global seat renewals,'Monetization Foundations' eng team building intl currencies/self-serve; $42B tender
Nutrisense,Health & Wellness,Medium,USA,9,Dunning + retry en subs metabólicas high-ticket,Modelo CGM+coaching $225-399/mo escalando
Pair Eyewear,E-commerce & Retail,Medium,New York NY,9,Auth-rate + LPMs UK/AU; dunning en recompradores,Lanzó UK+Australia (2024-25)
Paramount+,Media & Streaming,Enterprise,US/Global,9,Auth-rate optimization + unified billing to de-risk price hike + complex platform merger,Price increase for new subs Jan'26; pending WBD merger
Peloton,Health & Wellness,Enterprise,US/Global,9,Dunning + decline-recovery + new-mkt LPMs + IAP→web for app subs,"Turnaround: renewed intl subscriber expansion as early as 2026, AI churn reduction"
Phantom,Fintech & Crypto,Medium,San Francisco CA,9,Orquestar auth on-ramp + failover de ramps,Pivot a 'consumer finance platform' 2025
PLAYSTUDIOS,Gaming,Medium,Las Vegas NV,9,IAP→web store para escapar 30% + routing,$235M TTM (Dic'25)
Pomelo,Fintech & Crypto,Medium,US/Global,9,Entire product is credit-card-funded cross-border: auth rate IS the business; routing + failover core,$35M Series A + $75M warehouse; Thunes for US→PH→MX/IN remittances
Pray.com,Education,Medium,Santa Monica CA,9,IAP leakage + rails locales al internacionalizar,"17M+ users, top grossing religioso"
Preply,Education,Enterprise,US/Global,9,Two-sided marketplace: one API for global pay-in LPMs + tutor payout orchestration,$150M Series D at $1.2B (Jan'26) for global growth in 180 ctys
Remitly,Fintech & Crypto,Enterprise,US/Global,9,Card-funded transfers into new high-risk corridors: auth optimization + redundancy = direct revenue lever,2026 guidance ~$1.95B; expanding Saudi Arabia + Brazil; scaling Wallet & Card
Riot Games,Gaming,Enterprise,US/Global,9,"In-house payments build + card-only checkout = gap for routing, LPMs, failover",Hiring Mgr SWE Payments 'Checkouts' team; RP card/PayPal-only in-client
Ritual,Health & Wellness,Medium,Los Angeles CA,9,Auth-rate de subscripción + dunning; LPMs intl,Lanzamiento Ulta 2025; $5M R&D clínico
Robinhood,Fintech & Crypto,Enterprise,US/Global,9,Onboard per-market LPMs + lift card-deposit auth w/ failover as it funds millions of new accounts,Dec'25 Indonesia M&A → SE Asia; 2026 EU crypto via Bitstamp; $5.6B net deposits Feb'26
Roblox,Gaming,Enterprise,US/Global,9,"Accelerate IAP→web w/ one API across APAC/RoW LPMs, lift auth, failover, fraud orchestration",+25% Robux on web to steer off IAP; hiring 'SWE Payments Foundation'
SciPlay,Gaming,Medium,USA,9,Migración web-store D2C + expansión LPM,$250M rev 2025
Secretlab,Gaming,Enterprise,US/Global,9,"Replace region-by-region PSP patchwork w/ one integration: unify checkout, lift auth, new-mkt LPMs",Per-region storefronts each w/ different PSP/BNPL roster; India/SEA push
Seed Health,Health & Wellness,Medium,Venice CA,9,Replenishment billing + redundancia PSP al escalar global,Explorando venta ~$1B; Sprouts nationwide (2025)
Signos,Health & Wellness,Medium,USA,9,Auth-rate + failover al escalar post-FDA,FDA-cleared con Dexcom Stelo (2025)
Skillshare,Education,Medium,New York NY,9,Billing subscripción global + métodos locales 180 países,Inversión NewSpring; adquirió Superpeer
Skillz,Gaming,Medium,Las Vegas NV,9,Anti-fraude + chargeback mgmt + auth lift,$420M win vs Papaya (Abr'26)
Skims,E-commerce & Retail,Enterprise,US/Global,9,"$1B+ DTC opening multi-region storefronts: unified global checkout, LPMs, cross-border cost pre-IPO",$225M at $5B (Nov'25) for intl; UK flagship + Dubai 2026; >$1B net sales
Sling Money,Fintech & Crypto,Medium,Dover DE,9,Auth de transfers card-funded + on/off-ramp,119 países live 2025
Snyk,SaaS,Enterprise,US/Global,9,"Developer-first security self-serve global; IPO prep = billing scrutiny, PCI reduction, redundancy","Planning 2026 IPO; ~$2B mark, $435M cash"
Speak,Education,Medium,US/Global,9,Migrate IAP + fragmented regional billing to one API w/ Korea/Japan/SEA/LatAm LPMs + routing,"$78M Series C at $1B (OpenAI-backed); 10M+ users 40+ ctys, expanding SEA/EU/LatAm"
Splash Sports,Gaming,Medium,USA,9,Failover + LPMs globales al escalar estados,Serie B Oct'25; payout dinámico
Spot & Tango,E-commerce & Retail,Medium,New York NY,9,Dunning auto-ship + failover en renovaciones críticas,130M+ meals (Dic'25); expansión UnKibble
Springboard,Education,Medium,San Francisco CA,9,Orquestar PSPs installment/financing + recuperar tuition,Modelo financing-partner 2025
Stan (Stan.store),Creator & Social,Medium,Los Angeles CA,9,Auth-rate + LPMs para checkout creator global,ARR +24% YoY 2025
Stash,Fintech & Crypto,Medium,New York NY,9,Auth de depósitos card-funded + redundancia PSP,$146M Serie H oversubscribed (May'25)
StockX,Marketplace,Enterprise,US/Global,9,Global two-sided marketplace: orchestrate auth + LPMs across 170 ctys + failover,Sellers in 170+ ctys; launching StockX Live (Jun'26); only 67% rev US
StubHub,Marketplace,Enterprise,US/Global,9,LatAm+APAC is Yuno's home turf: lift auth + local methods where growth concentrates,"Newly public (Sep'25); intl growth outpacing NA, esp. LatAm + APAC; 48 currencies"
Substack,Creator & Social,Enterprise,US/Global,9,"Two-sided global payouts on one PSP: redundancy/failover, routing, LPMs + cross-border payouts",$100M Series C at $1.1B (Jul'25); $600M+/yr creator payouts; single Stripe both sides
Sundays for Dogs,E-commerce & Retail,Medium,New York NY,9,Recurring billing + dunning; PSP failover,'Brand to watch' eyeing retail 2025
Sunnyside,Health & Wellness,Medium,USA,9,IAP→web + dunning en subs alto volumen bajo ARPU,Lanzó AI coach + naltrexone $99/mo (2024-25)
