Rank,Tier,Company,Sector,Est. scale,HQ,Fit,Deck?,Signal,Yuno angle
45,A,Ritual,Health/Wellness,$100-150M sub rev,Los Angeles CA,9,NEW,Lanzamiento Ulta 2025; $5M R&D clínico,Auth-rate de subscripción + dunning; LPMs intl
46,A,SciPlay,Gaming/Ent,$250M rev,USA,9,NEW,$250M rev 2025,Migración web-store D2C + expansión LPM
47,A,Seed Health,Health/Wellness,"~$75M rev, profitable",Venice CA,9,NEW,Explorando venta ~$1B; Sprouts nationwide (2025),Replenishment billing + redundancia PSP al escalar global
48,A,Signos,Health/Wellness,Serie B CGM,USA,9,NEW,FDA-cleared con Dexcom Stelo (2025),Auth-rate + failover al escalar post-FDA
49,A,Skillshare,Edtech,~$235M raised (NewSpring),New York NY,9,NEW,Inversión NewSpring; adquirió Superpeer,Billing subscripción global + métodos locales 180 países
50,A,Skillz,Gaming/Ent,"~$150M rev, public",Las Vegas NV,9,NEW,$420M win vs Papaya (Abr'26),Anti-fraude + chargeback mgmt + auth lift
51,A,Sling Money,Fintech,$15M Serie A (a16z/USV),Dover DE,9,NEW,119 países live 2025,Auth de transfers card-funded + on/off-ramp
52,A,Splash Sports,Gaming/Ent,$14.5M Serie B,USA,9,NEW,Serie B Oct'25; payout dinámico,Failover + LPMs globales al escalar estados
53,A,Spot & Tango,DTC,$51.75M raised,New York NY,9,NEW,130M+ meals (Dic'25); expansión UnKibble,Dunning auto-ship + failover en renovaciones críticas
54,A,Springboard,Edtech,~$69M+ raised,San Francisco CA,9,NEW,Modelo financing-partner 2025,Orquestar PSPs installment/financing + recuperar tuition
55,A,Stan (Stan.store),Creator/Social,"~$35M ARR, profitable",Los Angeles CA,9,NEW,ARR +24% YoY 2025,Auth-rate + LPMs para checkout creator global
56,A,Stash,Fintech,"$666M raised, 1.3M subs",New York NY,9,NEW,$146M Serie H oversubscribed (May'25),Auth de depósitos card-funded + redundancia PSP
57,A,Sundays for Dogs,DTC,VC-backed mid-market,New York NY,9,NEW,'Brand to watch' eyeing retail 2025,Recurring billing + dunning; PSP failover
58,A,Sunnyside,Health/Wellness,"$11.5M raised, 600k users",USA,9,NEW,Lanzó AI coach + naltrexone $99/mo (2024-25),IAP→web + dunning en subs alto volumen bajo ARPU
59,A,Swimply,Marketplace,"$50M raised, ~$25M+ rev",New York NY,9,NEW,Expandiendo categorías,Payouts two-sided + instant-payout para hosts
60,A,Take Profit Trader,Fintech,"one-step funding, daily payouts",Orlando FL,9,NEW,Top US futures prop 2025-26,LPMs globales + orquestación payouts
61,A,TickPick,Marketplace,$250M Serie B,New York NY,9,NEW,Capital fresco Brighton Park,Failover PSP + auth-rate en tickets de alto valor
62,A,Tolan (Portola),Consumer AI,"~$12M ARR, $30M Serie A",San Francisco CA,9,NEW,$1M→$12M ARR en 4 meses (2025),App IAP hipergrowth → web-billing + dunning
63,B,Acorns,Fintech,"~$263M rev, $1.9B val",Irvine CA,8,NEW,Adquirió EarlyBird (May'25); rev ~3x,Auth recurrente card + failover
64,B,Alto (Alto IRA),Fintech,"$74.9M raised, Serie B",Nashville TN,8,NEW,Partnership Canopy (Dic'25),Auth de account-funding + on/off-ramp orchestration
65,B,Atlas Coffee Club,DTC,VC-backed,Boston MA,8,NEW,Cross-promo Driftaway (Mar'25),LPMs intl-roaster + dunning subscripción; failover
66,B,Aura Health,Health/Wellness,growth-stage,San Francisco CA,8,NEW,App meditación 1:1 coaching 2025,IAP→web; smart routing en subs globales
67,B,Beacons,Creator/Social,~$56M raised (a16z),San Francisco CA,8,NEW,Expansión features monetización 2025,LPMs + routing para conversión creator-store global
68,B,BloomNation,Marketplace,$18.2M total,Santa Monica CA,8,NEW,Soporte español; Canadá; supplier 2025,Payouts florist + LPMs Canadá/LatAm
69,B,Blueland,DTC,Shark Tank + VC,New York NY,8,NEW,Modelo refill drive loyalty 2025,Replenishment billing + dunning
70,B,Bokksu,DTC,"~$34M 2025, $26M+ raised",New York NY,8,NEW,Forecast $34M 2025; retail 2x,Aceptación cross-border/LPM + dunning subscripción
71,B,Born / Pengu,Consumer AI,"$15M Serie A, 15M users",USA,8,NEW,$15M Serie A + 15M users (Sep'25),Single-PSP sub + IAP→web + routing intl
72,B,Brainscape,Edtech,"~$6.1M rev, profitable",New York NY,8,NEW,Rev $4.4M→$6.1M (Oct'24),Web checkout + métodos locales para learners globales
73,B,Brightside Health,Health/Wellness,Serie C telehealth,USA,8,NEW,Expandiendo therapy/psychiatry/meds 2025,Routing + redundancia para billing recurrente
74,B,Brilliant,Edtech,"~$93M raised, ~$25M+ rev",San Francisco CA,8,NEW,Lanzó Koji AI tutor 2025,Billing subscripción global + auth-rate en planes anuales
75,B,Brooklinen,DTC,~$100M+ rev,Brooklyn NY,8,NEW,Omnichannel + expansión categorías,Redundancia PSP + BNPL en sets de mayor AOV
76,B,Cameo,Creator/Social,~$35M rev,Chicago IL,8,NEW,Rev reconstruyéndose 2025,Routing recupera declines + LPMs para compras de fans
77,B,Captions,Consumer AI,"$100M Serie C, $500M val",New York NY,8,NEW,"$100M Serie C, escalando intl",IAP→web + LPMs globales + credit billing
78,B,Chairish,Marketplace,mid-market vintage/decor,San Francisco CA,8,NEW,"Resale design high-AOV, shipping intl",Auth high-ticket + orquestación payout seller
79,B,Circle (communities),Creator/Social,"profitable, 18k+ communities",San Francisco CA,8,YES,Rentable 2025; 18k+ comunidades,Auth-rate + redundancia en subs membership
80,B,Cotopaxi,DTC,"~$94-140M, $93M+ raised",Salt Lake City UT,8,NEW,Nuevo CEO; Serie C-III (Jun'25),LPMs/local acquiring para intl; redundancia PSP
81,B,Crown Affair,DTC,Serie B $9M,New York NY,8,NEW,$9M Serie B (May'25),Replenishment sub + dunning; LPMs intl
82,B,Cure Hydration,DTC,VC-backed growth,New York NY,8,NEW,Categoría hidratación en polvo surge 2025-26,Subscribe-and-save billing + auth-rate
83,B,Curtsy,Marketplace,growth resale app,San Francisco CA,8,NEW,Crecimiento resale mobile-first,Payouts seller + auth lift para compradores impulsivos
84,B,DataCamp,Edtech,~$286M rev est.,New York NY,8,YES,180+ países base 2025,Métodos locales + decline recovery en base intl
85,B,Ditto,Creator/Social,$9.2M seed (Peak XV),USA,8,NEW,$9.2M seed Feb 2026,Dunning + failover para monetización temprana
86,B,Elevate Labs,Edtech,"~$15M raised, Serie B",San Francisco CA,8,NEW,Top brain-training app 2025,Reducir 30% IAP via web billing
87,B,Faherty,DTC,~$250M rev,New York NY,8,NEW,"Escaló a $250M, B Corp 2025",Auth-rate + redundancia PSP omnichannel
88,B,Fashionphile,Marketplace,mid-market luxury resale,Carlsbad CA,8,NEW,Lanzó UK 2025 (Luxe Collective),PSP cross-border + LPMs para nuevo mercado UK/EU
89,B,Found,Health/Wellness,Serie B GLP-1 telehealth,Austin TX,8,NEW,Boom GLP-1 telehealth 2025,Dunning + routing en billing GLP-1 alto volumen
90,B,Fourthwall,Creator/Social,"$17M raised, 200k sellers",Venice CA,8,NEW,"200k+ sellers, expansión monetización 2025",Un API checkout global + payouts/redundancia creator
91,B,Gameflip,Gaming/Ent,"$45.25M val, $200M+ GMV",USA,8,NEW,StartEngine raise 2025; $200M+ ventas,Marketplace PSP orchestration + fraude/chargeback
92,B,Giggster,Marketplace,growth-stage VC,Los Angeles CA,8,NEW,Marketplace de espacios creativos,Payouts host two-sided + fraude en bookings de alto valor
93,B,Goldbelly,Marketplace,growth food marketplace,New York NY,8,NEW,Marketplace food two-sided nationwide,Payouts merchant + auth lift en picos de gifting
94,B,Grailed,Marketplace,mid-market men's resale,New York NY,8,NEW,"Líder resale masculino, base intl",Payouts two-sided + LPMs checkout global
95,B,High 5 Games,Gaming/Ent,mid-size social/sweeps,Jersey City NJ,8,NEW,Mercado sweeps activo 2025,Failover coin-purchase + chargeback mgmt
96,B,Interview Kickstart,Edtech,20k+ trained,Santa Clara CA,8,NEW,Pivot a AI/ML; funnels US+India 2025-26,UPI/rails locales + installments via un API
97,B,Jam City,Gaming/Ent,mid-large studio,Culver City CA,8,YES,Portfolio activo,Web-store D2C + LPMs para IAP global
98,B,Jumpspeak,Edtech,high app-store rev,Miami FL,8,NEW,Escalando intl via paid social,ESL intl en IAP = pagos locales + reducción de fees
99,B,Juni Learning,Edtech,"~$11M+ raised, Serie A",San Francisco CA,8,NEW,Crecimiento K-12 enrichment,Payouts instructor + auth-rate sub recurrente padres
100,B,Kikoff,Fintech,">$300M rev, Serie C",San Francisco CA,8,NEW,"Superó $300M rev 2025, profitable",Recuperar cargos sub declined via retry/routing
101,B,Kindroid,Consumer AI,growth-stage,USA,8,NEW,Líder companion customization 2026,Tiered sub billing + IAP→web + auth intl
102,B,Klover,Fintech,"~$89M raised, profitable",Chicago IL,8,NEW,Modelo data-monetization,Push-to-card payout routing + redundancia disbursement
103,B,Krea,Consumer AI,"$83M raised, $500M val",San Francisco CA,8,NEW,$47M Serie B (Abr'25),Credit billing + routing intl al escalar
104,B,Levels,Health/Wellness,metabolic sub scaleup,USA,8,NEW,Membership $125/yr + Stelo OTC tailwind 2025,Auth-rate + LPMs al ampliar TAM con CGM OTC
105,B,Lucra Sports,Gaming/Ent,$18M Serie B,USA,8,NEW,Serie B Ene'26 (Harlo),Failover + LPMs al expandir estados
106,B,Magic Spoon,DTC,"~$250M scale, $85M+ raised",New York NY,8,NEW,+29% lift subscripción via Shopify 2025,Cortar churn involuntario via retries; auth-rate
107,B,Magoosh,Edtech,"~$3.9M rev, bootstrapped",San Francisco CA,8,NEW,Tráfico intl India/Nigeria,UPI + APMs locales para cortar declines de tarjeta
108,B,Majority,Fintech,"~$40M ARR, $90M raised",Houston TX,8,NEW,$40M ARR; remesas 4x,LPMs en mercados receptores + auth de transfers
109,B,Masterworks,Fintech,"$1B val, ~$77M ARR",New York NY,8,NEW,ARR +23% YoY,Auth de compras card-funded + payouts
110,B,Mighty Networks,Creator/Social,venture-backed scaleup,Palo Alto CA,8,NEW,Crecimiento comunidades de pago,Sub billing + dunning + LPMs para miembros globales
111,B,Musely,Health/Wellness,profitable teledermatology,USA,8,NEW,160x crecimiento 6 años,PSP failover + retry en refills
112,B,Needed,DTC,"mid-8-fig, $22.6M raised",Los Angeles CA,8,NEW,135 empleados 2026,Replenishment dunning + auth-rate
113,B,Nerdy / Varsity Tutors,Edtech,"~$190M rev, public",St. Louis MO,8,NEW,Q4'25 EBITDA+; consumer +6% YoY,Payouts tutor/expert + optimización sub billing
114,B,Nomi AI,Consumer AI,growth-stage,USA,8,NEW,App companion top-ranked 2026,"Single-PSP sub, users intl → routing + dunning"
115,B,OSEA Malibu,DTC,~$31.7M rev (Gen Atlantic),Los Angeles CA,8,NEW,GA strategic growth (Sep'25),Replenishment dunning + LPMs intl
116,B,Our Place,DTC,~$90M raised,Los Angeles CA,8,NEW,Liberty London + expansión retail 2025,Routing checkout + BNPL en cestas $150+
117,B,Outdoorsy,Marketplace,mid-market P2P,Austin TX,8,YES,"Mercados US+intl, high-ticket",Payouts cross-border + redundancia multi-PSP
118,B,Palla,Fintech,$14.5M Serie A,Miami FL,8,NEW,$14.5M Serie A (May'25); 30+ FI,Payouts cross-border + LPMs en mercados receptores
119,B,Parachute,DTC,"~$150M+ rev, profitable",Los Angeles CA,8,NEW,Refoco en canal DTC 2024-25,Routing + BNPL; dunning de cart-abandonment
120,B,Peerspace,Marketplace,growth-stage VC,San Francisco CA,8,NEW,Escalando vs Swimply/Giggster,Orquestación payout host + auth-rate
121,B,Perelel,DTC,"~$50M+, $27M raised",Los Angeles CA,8,NEW,$27M Prelude Growth (Nov'25),Replenishment dunning + auth-rate; LPMs al expandir
122,B,Phlur,DTC,~$150M retail (TSG),Austin TX,8,NEW,DTC +100% 2025; adquirida por TSG,Auth-rate + redundancia PSP en demanda viral
123,B,Pietra,Creator/Social,$15M Serie A,New York NY,8,NEW,Expansión más allá de creators,Checkout global embebido + payout orchestration
124,B,Pika,Consumer AI,$135M Serie B,Palo Alto CA,8,NEW,"$80M Serie B, crecimiento masivo",Credit billing + failover PSP + LPMs intl
125,B,Pocket Gems,Gaming/Ent,~$100M+ scale,Daly City CA,8,NEW,Monetización IAP continua,IAP→web store + auth lift
126,B,PrizePicks,Gaming/Ent,"~$339M EBITDA, $2.5B val",Atlanta GA,8,YES,60%+ YoY; Allwyn compró 62.3% (Ene'26),Smart routing para auth depósitos + LPMs
127,B,Rebag,Marketplace,"$103M total, Serie E",New York NY,8,NEW,Serie E 2025; AI authentication,Auth-rate high-ticket + rails payout seller
128,B,Reframe,Health/Wellness,3M+ users,USA,8,NEW,Superó 3M users 2025,IAP→web; retry en renovaciones anuales
129,B,Reverb,Marketplace,mid-market music gear,Chicago IL,8,NEW,"Marketplace gear global, compradores intl",Payouts two-sided + LPMs cross-border
130,B,Ruggable,DTC,~$100M+ rev,Los Angeles CA,8,NEW,"Escaló >$100M, crecimiento intl",BNPL + LPMs cross-border + auth-rate
131,B,RVshare,Marketplace,mid-market P2P,Akron OH,8,NEW,Marketplace P2P RV grande,Payouts owner + fraude en rentals de alto valor
132,B,Second Dinner,Gaming/Ent,~$100M+ raised (a16z),Irvine CA,8,NEW,Monetización IAP Marvel Snap sostenida,IAP→web store D2C + smart routing
133,B,Sitch,Creator/Social,$7M (a16z speedrun),New York NY,8,NEW,$5M seed; dating AI emergente 2025,Sub billing + auth-rate al escalar dating pago
134,B,Skool,Creator/Social,"~$99/mo/community, fast-growing",Austin TX,8,NEW,Adopción rápida creator-community 2025,Smart routing + LPMs para billing comunidad
135,B,Strike,Fintech,"~$300M val, profitable",Chicago IL,8,NEW,Entró a crypto lending 2025,Card-auth routing en buy-ins + LPMs corredores
136,B,Theorycraft Games,Gaming/Ent,~$50M+ raised (ex-Riot),Los Angeles CA,8,NEW,Ramp lanzamiento Supervive 2025,Web store D2C para cosméticos + LPMs globales
137,B,Tia,Health/Wellness,$132.8M raised,New York NY,8,NEW,Membership + virtual care escalando 2025,Billing membership recurrente + LPMs
138,B,Titan,Fintech,"$90.1M raised, $450M val",New York NY,8,NEW,"Serie B (a16z, Gen Catalyst)",Auth de depósitos + failover PSP
139,B,Trade Coffee,DTC,VC-backed,New York NY,8,NEW,Adquirió Bean Box 2025,Payouts multi-roaster + routing subscripción; dunning
140,B,Uphold,Fintech,~$38M rev,New York NY,8,NEW,Push card/rewards 2025-26,Failover PSP + LPMs para funding cross-border
141,B,Varo Bank,Fintech,"~$129M+ rev, Serie G",San Francisco CA,8,NEW,Recaudó $124M 2025,Auth de depósitos card-funded + on-ramp orchestration
142,B,Vegamour,DTC,~$27M+ DTC (Gen Atlantic),Los Angeles CA,8,NEW,GA $80M; Sephora 200+ doors,Dunning sub + card-updater en refills
143,B,Vivid Picks,Gaming/Ent,backed by Vivid Seats,Chicago IL,8,NEW,Relanzó producto DFS,Routing rails depósito + redundancia
144,C,1stDibs,Marketplace,mid-large luxury,New York NY,7,YES,"Luxury high-AOV global, compradores intl",Auth high-ticket + LPMs/payouts dealer cross-border
145,C,222,Creator/Social,$2.5M seed,Los Angeles CA,7,NEW,Momentum IRL-social,Smart routing + LPMs para eventos IRL de pago
146,C,Acely,Edtech,early-stage,USA,7,NEW,Nuevo AI tutor ganando share 2025,Orquestación para college-bound global
147,C,Albert,Fintech,"~$29M rev, $174M raised",Los Angeles CA,7,NEW,Nueva ronda (Sep'25),Orquestación instant-disbursement + auth de depósitos
148,C,App Academy,Edtech,ISA pioneer,San Francisco CA,7,NEW,Modelo ISA/installment 2025,Orquestar PSPs installment/ISA + reducir fallos
149,C,Balance (Elevate Labs),Health/Wellness,growth meditation,San Francisco CA,7,NEW,App meditación $69.99/yr,IAP→web; dunning en renovaciones anuales
150,C,Betr,Gaming/Ent,"145 empleados, growth",Miami FL,7,NEW,Crecimiento activo 2025-26,Routing de depósitos + redundancia
151,C,Branch,Fintech,$75M Serie C,Minneapolis MN,7,NEW,Lanzó plataforma EWA 2025,Push-to-card payout routing con failover
152,C,Chalkboard Fantasy,Gaming/Ent,early/growth DFS,USA,7,NEW,Plataforma DFS en ascenso 2025-26,Orquestación rail depósito + redundancia
153,C,Clapper,Creator/Social,"~$3M seed, 2M+ MAU",Dallas TX,7,NEW,1.4M downloads en una semana (Ene'25),Failover + LPMs para tipping/gifting en escala spiky
154,C,Copper Banking,Fintech,"~$29M+ raised, 350K users",Seattle WA,7,NEW,350K+ users,Auth de top-ups card-funded across PSPs
155,C,Crown Coins Casino,Gaming/Ent,mid-size sweeps,USA,7,NEW,Top-3 trusted sweeps 2025-26,Redundancia PSP coin-purchase + chargeback
156,C,Daybreak Game Co.,Gaming/Ent,mid-large studio,San Diego CA,7,NEW,Absorbió Singularity 6 (2024-25),Sub billing + LPMs globales + recovery
157,C,Dippy AI,Consumer AI,growth-stage,USA,7,NEW,Activo 2026,IAP→web + auth intl
158,C,Dropout,Gaming/Ent,~$5.99/mo SVOD,Los Angeles CA,7,NEW,Fuerte crecimiento subscriber 2024-25,Auth-rate subscripción + decline recovery
159,C,Eden (Try Eden),Health/Wellness,GLP-1 telehealth,USA,7,NEW,Programa GLP-1 escalando 2025,Dunning en sub mensual GLP-1; escapar card-only
160,C,Encantos,Edtech,"~$7.7M raised, Serie A",Culver City CA,7,NEW,Sub rev supera retail 2025,"LPMs LatAm (Pix, OXXO) para subs de padres"
161,C,Events.com,Marketplace,$200M sub facility,San Diego CA,7,NEW,$200M GEM facility 2025,Payouts organizer + routing multi-PSP
162,C,Evolve,Marketplace,mid-large vacation rental,Denver CO,7,NEW,Modelo lower-fee host = volumen payout,Payouts host + optimización checkout
163,C,Friend,Consumer AI,seed/Serie A,USA,7,NEW,Push consumer 2025-26,IAP→web + billing hardware+sub orchestration
164,C,Fundrise,Fintech,"$2.87B AUM, 2M+ investors",Washington DC,7,NEW,Inc 5000 (Ago'25); $770M JPM facility,Auth de account-funding + payouts en distribuciones
165,C,Future,Health/Wellness,Serie B remote training,USA,7,NEW,Cerró Serie B Ene 2025,Dunning + retry en subs coaching premium
166,C,Gametime,Marketplace,mid-market ticketing,San Francisco CA,7,YES,Secondary ticketing mobile-first,Auth checkout mobile + payouts seller
167,C,Geneva,Creator/Social,venture-backed,Los Angeles CA,7,NEW,Interés VC en comunidades nicho,Sub + LPM rails al monetizar comunidades
168,C,GOAT,Marketplace,mid-large sneaker resale,Los Angeles CA,7,YES,"Marketplace sneaker global, LPMs intl",LPMs cross-border + payouts two-sided
169,C,GridRival,Gaming/Ent,$8.6M funding,USA,7,NEW,Crecimiento nicho,Routing depósito/payout + LPMs
170,C,Headway,Health/Wellness,"$125M Serie C, $1B+ val",New York NY,7,NEW,$125M Serie C (Spark) 2025,Routing + LPMs al escalar therapy consumer-pay
171,C,Heritage Auctions,Marketplace,mid-large auction house,Dallas TX,7,NEW,Payouts collectible alto valor,Routing pago high-ticket + payouts consignor
172,C,January AI,Health/Wellness,metabolic app,USA,7,NEW,App CGM/metabólica activa 2025,IAP→web + retry en subs metabólicas
173,C,Kidizen,Marketplace,small-mid resale,Minneapolis MN,7,NEW,Flujos payout seller nicho,Rails payout seller + optimización checkout
174,C,Kindbody,Health/Wellness,$1.8B val growth,New York NY,7,NEW,"27 clínicas, 21 ciudades 2025",LPMs + installments para fertility high-ticket
175,C,Lex,Creator/Social,social/dating queer,New York NY,7,NEW,Momentum Gen Z 2025,Sub billing + LPMs para monetización nicho
176,C,Maven,Edtech,~$30M raised (a16z),Austin TX,7,NEW,"$9M ventas en 18mo, 300+ cohorts 2025",Checkout comprador global + payouts instructor
177,C,Nebula,Gaming/Ent,680k+ subs,USA,7,NEW,"680k+ subs pagos, escalando",Sub billing + dunning/recovery + LPMs globales
178,C,Numerade,Consumer AI,~$26M Serie A,Los Angeles CA,7,NEW,Expansión AI tutor 2024; push global,IAP leakage + LPM intl para subs estudiantes
179,C,Oar Health,Health/Wellness,naltrexone telehealth,New York NY,7,NEW,Tratamiento alcohol escalando 2025,Retry + redundancia en subs Rx recurrentes
180,C,OfferUp,Marketplace,mid-large US local resale,Bellevue WA,7,NEW,Escala post-merger (recommerce 2025),Payouts seller + fraude en transacciones shipped
181,C,Pacaso,Marketplace,"$300M+ total, $72.5M raise",San Francisco CA,7,NEW,Mayor Reg A+ inmobiliario 2025,Routing pago alto valor + failover en transacciones grandes
182,C,Partiful,Creator/Social,~$27M raised (a16z),San Francisco CA,7,NEW,"+2M users 2025, +400% YoY MAU",LPMs + routing al añadir features de pago/ticketing
