Rank,Tier,Company,Sector,Fit,Deck?,Signal (2025-26),Yuno angle
47,2,JetBlue,Travel,9,NEW,13 EU routes 2026 (Milan May'26) + 11-dest Ft Lauderdale LatAm buildout,Deep transatlantic + LatAm push: EU local methods + multi-currency w/ smart routing on high-ticket fares
48,2,Lime,Mobility,9,YES,Filed Nasdaq IPO May'26; 230 cities/29 ctys; going-concern doubt,29-ctry operator going public under cost pressure: routing improves the unit economics investors scrutinize
49,2,Mercor,AI,9,NEW,$350M Series C at $10B (Oct'25); paying 30k+ experts $2M+/day on Stripe Connect+Wise,"One-API payouts layer unifies Stripe Connect+Wise+local rails w/ failover, higher delivery, lower FX"
50,2,Midjourney,AI,9,YES,~$500M rev across 150+ ctys; Stripe's most globally distributed merchant,$500M across 150+ ctys on single PSP = concentration risk; failover + per-market routing
51,2,MoonPay,Crypto,9,NEW,Launched bank/fintech tokenized-asset platform (May'26); acquisition spree; IPO prep,Card-funded on-ramp at IPO scale across 160+ ctys: multi-acquirer auth routing + failover
52,2,Netflix,Streaming,9,YES,"US price hike Jan'26 (Std $19.99, Prem $26.99); ARPU/retention focus",Smart routing + dunning/retry to cut involuntary churn when price hikes spike declines
53,2,Paramount+,Streaming,9,NEW,Price increase for new subs Jan'26; pending WBD merger,Auth-rate optimization + unified billing to de-risk price hike + complex platform merger
54,2,Pomelo,Fintech,9,NEW,$35M Series A + $75M warehouse; Thunes for US→PH→MX/IN remittances,Entire product is credit-card-funded cross-border: auth rate IS the business; routing + failover core
55,2,Preply,Edtech,9,NEW,$150M Series D at $1.2B (Jan'26) for global growth in 180 ctys,Two-sided marketplace: one API for global pay-in LPMs + tutor payout orchestration
56,2,Remitly,Fintech,9,YES,2026 guidance ~$1.95B; expanding Saudi Arabia + Brazil; scaling Wallet & Card,Card-funded transfers into new high-risk corridors: auth optimization + redundancy = direct revenue lever
57,2,Roblox,Gaming,9,YES,+25% Robux on web to steer off IAP; hiring 'SWE Payments Foundation',"Accelerate IAP→web w/ one API across APAC/RoW LPMs, lift auth, failover, fraud orchestration"
58,2,Speak,Edtech,9,NEW,"$78M Series C at $1B (OpenAI-backed); 10M+ users 40+ ctys, expanding SEA/EU/LatAm",Migrate IAP + fragmented regional billing to one API w/ Korea/Japan/SEA/LatAm LPMs + routing
59,2,StockX,Marketplace,9,NEW,Sellers in 170+ ctys; launching StockX Live (Jun'26); only 67% rev US,Global two-sided marketplace: orchestrate auth + LPMs across 170 ctys + failover
60,2,StubHub,Marketplace,9,NEW,"Newly public (Sep'25); intl growth outpacing NA, esp. LatAm + APAC; 48 currencies",LatAm+APAC is Yuno's home turf: lift auth + local methods where growth concentrates
61,2,Substack,Creator,9,YES,$100M Series C at $1.1B (Jul'25); $600M+/yr creator payouts; single Stripe both sides,"Two-sided global payouts on one PSP: redundancy/failover, routing, LPMs + cross-border payouts"
62,2,Suno,AI,9,YES,$400M Series D at $5.4B (Jun'26); 2M+ subs; Stripe-only + USD-only rejecting intl cards,Freshly funded Stripe-only grower turning away intl cards; local methods + routing convert demand
63,2,Take-Two (Rockstar/2K),Gaming,9,YES,GTA 6 / GTA Online 2 launching Nov'26; Shark Cards pulled $5B,"Global GTA Online 2 launch w/ massive recurring microtxn needs auth optimization, LPMs, redundancy day one"
64,2,Together AI,AI,9,YES,"$1B annualized rev (Feb'26), raising ~$1B at $7.5B; self-serve 25+ cities",Dual usage-based lines to global startups: one orchestration layer for local acquiring + decline recovery
65,2,TravelPerk (US),Travel,9,NEW,$200M Series E at $2.7B; aggressive US expansion; acquired payments firm Yokoy,Rapid US+global build w/ fresh payments stack: orchestration prevents single-PSP lock-in + local methods
66,2,Tripledot Studios,Gaming,9,NEW,"Closed $800M acquisition of AppLovin games (Jun'25); 12 studios, 25M DAU",Freshly merged 12-studio portfolio runs fragmented PSPs; consolidate billing w/ one integration + LPMs
67,2,Valve / Steam,Gaming,9,NEW,PayPal acquirer terminated Steam in most regions (Jul'25); chargeback pressure,PSP redundancy w/ auto-failover so no single bank cuts off a region + routing + LPMs + chargeback orchestration
68,2,Vuori,DTC,9,NEW,E-com in 11 new ctys; first Asia stores (Seoul/Beijing); IPO chatter 2026,Rapid multi-ctry rollout + China/UK = fragmented-PSP + LPM problem one orchestrator solves
69,2,Webull,Fintech,9,NEW,EEA passport for 22 EU markets (Q1'26); net deposits $8.6B +91% YoY,One integration for card acquiring + LPMs to fund accounts across 22 new EEA markets
70,2,WeightWatchers,Healthtech,9,NEW,"Emerged from Ch.11 Jul'25, relaunched as GLP-1 telehealth subscription",Turnaround lives on retention: dunning + decline-recovery to stop involuntary churn
71,2,Gemini (crypto),Crypto,8,YES,"Card revenue +300% to $14.7M (~half of rev), May'26; post-IPO",As growth engine pivots to card-deposit under public scrutiny: lift card auth + acquirer redundancy
72,3,DigitalOcean,Cloud,9,YES,"Q1'26 rev $258M +22%, crossed $1B run-rate; AI ARR +221%",Public cloud on card-based self-serve for SMBs/devs worldwide: high decline volume = routing + recovery
73,3,Eneba,Gaming,9,NEW,Raised €10M (Nov'25); runs Checkout.com AND Nuvei simultaneously,Collapse Checkout.com+Nuvei into one API w/ smart routing + auto-failover
74,3,eToro US,Fintech,9,NEW,CEO weighing payments/banking expansion; NY crypto Apr'26 (48 states),"Consolidate cards, LPMs, fiat on/off-ramp into one layer w/ failover + higher deposit auth"
75,3,Figma,SaaS,9,YES,Worked w/ Stripe May'25 to overhaul billing for local currencies; newly public,Single-PSP (Stripe) dependency on global self-serve seats = cross-PSP redundancy + LPM expansion
76,3,Fourthwall,Creator,9,NEW,$23M-backed; all merchant collection + cross-border payouts on Stripe,Pure two-sided money movement on one PSP = redundancy/routing/global-LPM gap for scaling creators
77,3,FundedNext,Fintech,9,NEW,Q1'26 payouts $42.7M +293% YoY; launched FNmarkets brokerage,50/30/20 payout mix scaling 3x across 170+ ctys: card auth lift + multi-rail payout routing
78,3,G2A,Gaming,9,NEW,Deployed Forter for fraud + optimization globally for 30M users,Orchestrate multi-LPM/anti-fraud stack behind one API w/ failover on high-chargeback goods
79,3,GetYourGuide (US),Travel,9,YES,Partnered Checkout.com Jan'25; ~$194M raise for global+AI; NA expansion,Recent single-PSP commitment scaling geos: redundancy + LPMs + tour-operator payouts
80,3,GOAT,Marketplace,9,YES,~60M members; sellers 170+ ctys; 3% + tiered fees two-sided,"Global resale: orchestrated routing, LPMs, reliable intl seller payouts under one API"
81,3,Hopper (HTS),Travel,9,NEW,"~90% B2B, ~20 partners US/CA/JP/LatAm; Capital One carve-out (Mar'26)",Multi-ctry multi-partner fintech: one layer scales each new partner geo without re-integrating PSPs
82,3,Lovable,Dev,9,YES,0→$300M ARR <12mo; per-message credit billing,Global self-serve PLG w/ constant top-ups: routing + failover on high-frequency card auths
83,3,Moomoo (Futu),Fintech,9,NEW,Crypto to Texas (May'26); Canada funded accts +150% YoY; >50% accts outside HK,One integration for per-market LPMs + card acquiring + routing to fund accounts in each new ctry
84,3,Netlify,Dev,9,NEW,All new accounts → credit-based usage pricing (Sep'25),Fresh consumption-billing transition = new failed-payment surface; retry/recovery use case
85,3,Norwegian Cruise Line,Travel,9,NEW,FY25 rev $9.8B; 17 new ships through 2037 across 3 brands,High-ticket multi-currency global bookings: lift approvals + PSP redundancy/LPMs
86,3,Notion,SaaS,9,YES,'Monetization Foundations' eng team building intl currencies/self-serve; $42B tender,In-house billing team owns intl currency = direct buyer; lift auth on global seat renewals
87,3,Passes,Creator,9,NEW,$50M+ raise 2025; acquired Fanhouse migrating creators; nine-figure payouts,M&A creator migration + high-risk vertical = acute PSP redundancy/failover for payouts
88,3,Peloton,Fitness,9,NEW,"Turnaround: renewed intl subscriber expansion as early as 2026, AI churn reduction",Dunning + decline-recovery + new-mkt LPMs + IAP→web for app subs
89,3,Riot Games,Gaming,9,NEW,Hiring Mgr SWE Payments 'Checkouts' team; RP card/PayPal-only in-client,"In-house payments build + card-only checkout = gap for routing, LPMs, failover"
90,3,Skillz,Gaming,9,NEW,"FY25 $104.5M, Q1'26 +33%; 10-K flags app-store+processor reliance; 6 ctys",Routing + redundancy to lift auth on entry-fees + IAP→web to recover 30% tax named in 10-K
91,3,Snyk,Security,9,NEW,"Planning 2026 IPO; ~$2B mark, $435M cash","Developer-first security self-serve global; IPO prep = billing scrutiny, PCI reduction, redundancy"
92,3,Sweat,Fitness,9,NEW,"30M+ subscribers, 145 ctys, 8 languages; heavy iOS/Android IAP",IAP-to-web migration + LPMs for its non-US majority
93,3,Transak,Crypto,9,NEW,$16M from Tether/IDG; exclusive MetaMask on-ramp powering 100M+ users,Pure-play on-ramp in MetaMask: orchestrate card acquirers behind buy button for higher auth + redundancy
94,3,Vivid Seats,Marketplace,9,NEW,Launching Europe + Japan; acquired Vegas.com; cost-cutting to cash-generative 2026,"Cost pressure + new intl launches: routing-driven cost reduction, redundancy, local methods"
95,3,WorkOS,SaaS,9,NEW,$100M Series C at $2B (Mar'26); ARR climbing fast,"Usage-based dev-auth APIs, self-serve globally; scaling finance ops = ripe before lock-in"
96,3,AG1,DTC,8,YES,~$600M rev; launched at Target Apr'26 (omnichannel); single-subscription engine,Single-SKU global subscription lives on recurring auth + dunning = smart routing + failover
97,3,Airwallex (US),Fintech,8,NEW,$8B valuation; ~$1B to US ops 2026-29 + SF HQ; $1.3B ARR,Aggressive US push + card book: cross-PSP redundancy + acquiring-side auth across 12 new markets
98,3,Alaska/Hawaiian,Travel,8,NEW,Post-merger first transatlantic (Rome/London/Reykjavik) 2026,Domestic carrier going global across two merged stacks: unified cross-border acceptance + failover
99,3,Anker Innovations,DTC,8,NEW,"$3.65B TTM 2025, ~half US; multi-brand global DTC + marketplace","Multi-brand global electronics runs fragmented PSPs by brand/region; consolidate routing, LPMs, cost"
100,3,ARQ (DolarApp),Fintech,8,NEW,"$70M raise (Sequoia/FF) early'26; 2M+ users, $10B+ annualized; adding cards",Stablecoin cross-border super-app adding cards: orchestrate fiat on/off-ramp + lift auth across LatAm
101,3,Babbel,Edtech,8,YES,"Targeting ~$1.5B Frankfurt IPO; €352M rev, US #1 traffic",IPO margin scrutiny: consolidate fragmented PSPs into one API w/ redundancy
102,3,Bitwarden,Security,8,NEW,"$100M PSG/Battery round; 10M users 180+ ctys, capital for intl",Password-manager self-serve subs worldwide: cross-border acceptance + LPMs on global renewals
103,3,Breeze Airways,Travel,8,NEW,Launching first-ever intl routes early'26 (MX/Bahamas/CR/Jamaica/DR),First-time cross-border = greenfield: one integration to add LPMs + FX without per-ctry plumbing
104,3,Bungie (Sony),Gaming,8,NEW,Marathon launching w/ new microtxn model; Destiny 2 Eververse $300M+,"New live-service launch + global cosmetics store: orchestrate D2C, reduce store dependency"
105,3,Calm,Mental health,8,YES,Calm Health first intl (UK/CA) Jun'25; shed ~500K subs to 3.5M,One API for UK/CA w/ LPMs + routing/dunning to recover lost subs
106,3,Cash App (Block),Fintech,8,NEW,Rolling out Circle USDC to ~60M users across 4 chains (May'26),Orchestrate card-funded top-ups + stablecoin on/off-ramp across PSPs to lift auth + failover
107,3,Character.AI,AI,8,NEW,Exploring sale/raise >$1B amid cost pressure; LatAm/India skew; Stripe-only+IAP,Intl Stripe-only sub w/ explosive LatAm/India + acute cost pressure = textbook orchestration
108,3,Chegg,Edtech,8,YES,"Q2'25 sub rev -39%, subs -40% to 2.6M; pushing Busuu into LatAm",Churn crisis + fresh LatAm expansion: dunning orchestration + LPM story
109,3,Chime,Fintech,8,NEW,Q1'26 $38.7B purchase volume +12%; first GAAP profit; post-IPO,Scale instant transfers + card top-ups post-IPO: lift funding auth + PSP failover
110,3,Cloudflare,Cloud,8,YES,Expanded data-residency regions (BR/DE/IN/JP/SG/UK) Dec'25,Self-serve usage+subscription expanding geos: local acquiring/currency/LPM billing pain
111,3,Current,Fintech,8,NEW,$80M Series E at $1.5B (Jun'26); profitability mandate + payments expansion,"Lift auth on card-funded deposits/top-ups + failover, improving funded-account conversion"
112,3,DAZN,Streaming,8,YES,Multi-year US+Canada Fubo integration; DAZN1 linear launch,Global LPM coverage + failover for sports base spanning dozens of markets
113,3,Eight Sleep,Healthtech,8,YES,"$100M Series D (Aug'25) + $50M at $1.5B; ships 34+ ctys, China entry",Local acquiring/LPMs + redundancy to capture membership revenue outside US rails
114,3,Etsy,Marketplace,8,NEW,Expanded Etsy Payments to more markets amid 2025 tariff complexity,"Adding payment markets: layer orchestration for LPM breadth, auth lift, seller-payout reliability"
115,3,Expedia Group,Travel,8,YES,B2B gross bookings +24% Q4'25; extending Rapid API 2026; ~$3B tech spend,Surging B2B/white-label + supplier payouts across global partners: cross-border orchestration + failover
116,3,Fanatics Collect,Marketplace,8,YES,PSA partnership; live auctions + Sotheby's scaling 2025-26,New high-growth collectibles + live-auction w/ complex payouts: one API + redundancy as volume scales
117,3,Feeld,Dating,8,NEW,"2024 rev +26% to $65.2M; ~171 staff across 6 continents, intl plans",One API to lift global auth + LPMs + cut churn before scale magnifies leakage
118,3,Frontier Airlines,Travel,8,NEW,23 new US/Mexico routes + Caribbean/Central America spring'26,"ULCC Mexico/LatAm growth where LPMs (OXXO, installments) + cross-border declines are real leakage"
119,3,Grafana Labs,SaaS,8,NEW,$250M at ~$9B (Feb'26); multi-dimensional usage pricing,"Self-serve consumption-metered observability, global SRE base: auth-rate lift on usage charges"
120,3,Groq,AI,8,NEW,$750M at $6.9B; 13 DCs NA/EU/ME; 2M+ devs on usage-based GroqCloud,2M-dev inference API expanding EU+ME: region-specific acquiring + LPMs a US PSP can't deliver
121,3,Headspace,Mental health,8,NEW,Top behavioral-health IPO candidate 2026; Cigna rollout + cost cuts,IAP→web on $476M+ volume to escape 30% + dunning across 190 ctys
122,3,Hily,Dating,8,NEW,Surpassed Bumble to #3 US dating app; already runs direct web billing,"Scale off-store checkout globally w/ routing, dunning, redundancy, LatAm LPMs"
123,3,iFIT / NordicTrack,Fitness,8,YES,Restructured sub tiers Sep'25; millions of hardware-tethered subs US/EU,"Dunning, retries, PSP redundancy for high-ARPU connected fitness"
124,3,Insight Timer,Mental health,8,NEW,Official India launch (first emerging-mkt) Mar'26; 35M+ members; Apple 30% pain,IAP→web for MemberPlus + UPI/LPMs for India + dunning on failed renewals
125,3,Instacart,Marketplace,8,YES,Acquired Instaleap for global enterprise expansion; intl traction Q1'26,One API for intl enterprise expansion + shopper payouts beyond US-centric stack
126,3,Kajabi,Creator,8,YES,$10B cumulative creator payouts (Aug'25); +1.5% on intl cards,"Investing in own payments layer: lift intl-card auth, cut FX surcharge, add redundancy"
127,3,Krea AI,AI,8,NEW,$47M Series B (Apr'25) at ~$500M; 30M+ users across 191 ctys,"One API to monetize 191 ctys w/ LPMs + PSP redundancy, lifting auth + cutting decline churn"
128,3,Ladder,Fitness,8,NEW,$105M (GC/Point72) targeting 400K members + $100M ARR early'26,IAP→web + auth optimization as it chases the $100M ARR milestone
129,3,Lambda Labs,Cloud,8,NEW,IPO planned H2'26 (banks hired); $520M+ rev; $1.5B Series E (Nov'25),Pre-IPO GPU cloud: hardened billing + PSP redundancy to de-risk collection ahead of listing
130,3,LifeMD,Healthtech,8,NEW,Record 42k+ net-new subs Q1'26; weight-mgmt ~100k; Medicare Apr'26,Auth-rate lift + churn reduction protect new-subscriber LTV during growth push
131,3,Linktree,Creator,8,NEW,Launched 'Linktree Earn' + Shops; acquired Fingertip (Nov'25); 50M+ users,Pivoting to transactional commerce at 50M scale: launch payments/payouts globally w/ routing+LPMs
132,3,Mercari (US),Marketplace,8,YES,Flat 10% fee w/ processing absorbed (Jan'25),Processing in take rate: routing/cost reduction + cheaper payouts protect the 10% economics
133,3,Modal Labs,AI,8,NEW,$355M Series C at $4.65B (May'26); per-second usage billing,Pay-per-compute to global devs is decline-sensitive: routing + retries protect metered revenue
134,3,MongoDB,SaaS,8,YES,Atlas Flex usage-based tier GA Feb'25; per-hour usage globally,Global self-serve usage billing at scale: cross-border cost + decline recovery on metered charges
135,3,MyFitnessPal,Fitness,8,NEW,"Rev -5.7% to $310M; PE owner pivoting to growth, IPO/sale exit",Auth lift + churn recovery + IAP→web margin directly accretive to exit story
136,3,Patreon,Creator,8,YES,$179M rev 2025 +28%; $2B+/yr to creators; payouts USD-only,USD-only payouts = global-LPM gap; multi-PSP model solves + auth lift on recurring [warm contact]
137,3,Poe (Quora),AI,8,NEW,"18M MAU, ~$190M 2026; 5 paid tiers + creator-payout; single-Stripe+IAP","PSP redundancy behind Stripe, route subs off 30% IAP to web, orchestrate creator payouts"
138,3,Poshmark,Marketplace,8,YES,Naver-owned; cross-listing competitive pressure,"Mature US resale w/ millions of payouts + Naver global ambitions: auth lift, cost reduction, one rail"
139,3,Replit,Dev,8,YES,$525M annualized (Apr'26); $400M Series D at $9B; usage-based agent credits,Consumption agent credits to worldwide devs: routing recovers failed top-ups + local methods
140,3,Reverb,Marketplace,8,NEW,Launched Reverb Wallet (Sep'25); relaunched UK; ~$1B annual txns,"Re-architecting payments: orchestrate multi-ctry acquiring, LPMs, seller payouts behind wallet"
141,3,Ro,Healthtech,8,NEW,Retained Wegovy partnership (Jun'25); ~$370M GLP-1 rev,High-AOV care subs tie failed-payment recovery directly to revenue + adherence
142,3,Runway,AI,8,YES,"$315M at $5.3B (Feb'26); Stripe-only, admits intl checkout drop-off",Real local methods + multi-acquirer routing recover intl declines currency display can't fix
143,3,SiriusXM / Pandora,Streaming,8,NEW,Double-digit profit growth Q1'26 on price hikes; satellite subs to 32.9M,Dunning/retry + auth optimization to defend shrinking price-sensitive base
144,3,SoFi,Fintech,8,YES,Launched SoFiUSD stablecoin to ~15M (May'26); tokenized deposits Q3'26,Orchestrate high-auth card funding of crypto buys + cross-border on/off-ramp across acquirers
145,3,Solo Brands,DTC,8,NEW,Next phase of European expansion; profitability-first rebuild,Multi-brand DTC into EU under cost pressure: orchestration cost reduction + LPM coverage
146,3,Step,Fintech,8,NEW,Acquired by MrBeast's Beast Industries (Feb'26); 7M Gen Z accounts,Maximize card-funded top-up auth w/ redundancy + orchestrate fiat-to-crypto on-ramp at scale
147,3,Twilio,SaaS,8,YES,Consolidated SendGrid/Segment (Feb'26); hiring Principal SWE Billing,High-volume usage billing + active billing-eng hiring + global base = orchestration + cost
148,3,Uphold,Crypto,8,NEW,Launched Visa crypto card (Mar'26); Rail acquisition; 140+ ctys,"Scale card-funded crypto purchases + global Visa card: auth routing, failover, on/off-ramp"
149,3,Vercel,Dev,8,YES,$300M Series F at $9.3B; moved to credit billing Sep'25; IPO signals,v0 on usage credits + IPO horizon: orchestrate global collections + acquirer failover
