Company,Size,Sector,Region/HQ,Fit,Deck?,Yuno angle,Signal
Grab,Enterprise,Super-app,SEA,10,NEW,Multi-country PSP redundancy + LPM 8 mercados SEA,
HBO Max (WBD),Enterprise,Streaming,US/Global,10,YES,One API for LPMs across 20+ new countries + PSP failover for fast-scaling intl base,"Global rollout complete (UK/IE, 14 APAC, 15 EU mkts); 150M subs target by end-2026"
Hims & Hers,Enterprise,Healthtech,US/Global,10,YES,"Stitch overnight multi-region subscription billing into one API w/ LPMs, routing, redundancy",$1.15B ZAVA + Eucalyptus/LiveWell M&A → UK/DE/FR/CA/AU (Feb'26); intl rev ~10x
iFood,Enterprise,Food delivery,Brazil,10,NEW,"Pix + card routing, failover, restaurant/courier payouts",
Klook,Enterprise,Travel,US/Global,10,NEW,"Pre-IPO mktplace paying 120+ currencies, standing up multi-PSP — unify routing/failover/fraud",Filed F-1 for $400-500M NYSE IPO Nov'25; hiring Payments & Fraud PM for multi-PSP engine
LATAM Airlines,Enterprise,Airline,Chile,10,YES,Local acquiring + installment routing LatAm,
Lyft,Enterprise,Mobility,US/Global,10,YES,"Orchestrate the now-fragmented multi-PSP, multi-ctry stack + standardize driver payouts","Closed FreeNow (~$197M, Jan'26) → 9 EU countries; runs Checkout.com + Stripe"
MakeMyTrip,Enterprise,OTA,India,10,NEW,UPI/card routing + redundancia outbound,
OpenAI,Enterprise,AI,US/Global,10,NEW,"Global subs + agentic commerce needs LPM coverage, auth uplift, PSP redundancy across 170+ ctys","Instant Checkout/agentic commerce live; ChatGPT Go in 170+ countries, India #2 (Oct'25)"
Oura,Enterprise,Healthtech,US/Global,10,YES,"IPO-prep makes involuntary-churn reduction, PSP redundancy, new-mkt LPMs directly material",Confidential IPO filing May'26 after $900M at $11B; 5M+ paid; Japan/Germany
Playtika,Enterprise,Gaming,US/Global,10,NEW,~$1.2B/yr D2C across social-casino: routing + LPMs + failover protect highest-margin line,"Record D2C $291.8M Q1'26 +62.8% YoY, 39% of total, 40% target"
Scopely (Savvy),Enterprise,Gaming,US/Global,10,NEW,"Unify enlarged multi-store D2C portfolio, route to lift auth, cut processing + fraud orchestration",Closed $3.5B Niantic (May'25); Monopoly Go $5B D2C + PGO on separate stacks ~10% fees
Smart Fit,Enterprise,Gym chain,Brazil,10,NEW,"Route por país + cortar churn dues, Pix/boleto/OXXO",
Spotify,Enterprise,Streaming,US/Global,10,YES,Orchestrate web-billing across PSPs to recapture 30% IAP + lift auth on price-hike churn cliff,Apple approved US external payment links May'25; US price hike to $12.99 Feb'26
Strava,Enterprise,Fitness,US/Global,10,YES,They're wiring LPMs one-by-one; Yuno delivers every LPM via one API for IPO-era monetization,"Launched Pix in Brazil (#2 mkt) Feb'26; confidential ~$3B IPO filing Jan'26, ~$500M ARR"
Supercell,Enterprise,Mobile F2P,Finland,10,NEW,Orquestar web-store billing + LPMs 190 mercados,
Swiggy,Enterprise,Food/q-commerce,India,10,NEW,UPI optimization + redundancia + courier payouts,
Talabat,Enterprise,Food delivery,MENA,10,NEW,Multi-country routing + LPM (mada/KNET) + courier payouts,
Trip.com Group,Enterprise,OTA,China,10,YES,Cross-border auth routing + LPM cada corredor,
Vinted (US),Enterprise,Marketplace,US/Global,10,NEW,Greenfield US/cross-border build = the moment for orchestration: US acquirers + EU LPMs + payouts,'Major' US expansion Jan'26; UK-US cross-border pilot; building Vinted Pay
Viu (PCCW),Enterprise,OTT/video,Hong Kong,10,NEW,Un API SEA LPMs + dunning para cortar churn,
Whatnot,Enterprise,Marketplace,US/Global,10,NEW,"Hyper-scaling live-shopping GMV across US/UK/EU = routing, redundancy, global LPMs + seller payouts",$225M Series F at $11.5B (Oct'25) for intl expansion; GMV >$6B 2x YoY; EU sellers +600%
Whoop,Enterprise,Healthtech,US/Global,10,NEW,LPMs + auth-rate routing to protect $1.1B run-rate in card-light emerging markets,$575M Series G at $10.1B (Mar'26) to fund EU/GCC/LatAm/Asia; ~60% new sales intl
Apex Trader Funding,Medium,Fintech,Austin TX,10,NEW,Auth de fees eval + payouts globales a traders,$65M payouts últimos 90d (fin 2025)
Cambly,Medium,Edtech,San Francisco CA,10,YES,Payouts tutor cross-border + métodos locales,~$250M ARR; base Brasil/MENA/Asia
Curology,Medium,Health/Wellness,San Diego CA,10,NEW,Dunning + card-updater para churn en refills Rx,Lanzó hair care Rx; Amazon+Target 2025
Cymbiotika,Medium,DTC,San Diego CA,10,NEW,Dunning subscripción + routing global,"Expansión Target 1,900 + Ulta/Sprouts 2025-26"
Dossier,Medium,DTC,New York NY,10,NEW,Dossier+ recurring billing + LPM routing global,$100M ARR + Target nacional (Sep'25)
ELSA Speak,Medium,Edtech,San Francisco CA,10,NEW,LPMs LatAm/SEA + escapar 30% via web checkout,Push Brasil/India/Vietnam (2025)
Felix Pago,Medium,Fintech,Miami FL,10,NEW,Auth de transfers card-funded + failover off single-Stripe,$75M Serie B (Abr'25); $3B acumulado
Fever,Medium,Marketplace,New York NY,10,NEW,Routing + LPMs para footprint 40 países payout/checkout,Adquirió Atom+DICE 2025; 20x rev growth
Gruns,Medium,DTC,Austin TX,10,NEW,AutoShip recurring billing + dunning; auth-rate hipergrowth,Serie B $500M val (May'25); $300M run-rate
Hallow,Medium,Edtech,Chicago IL,10,NEW,Web-billing para escapar 30% IAP en base de subs,"Lent 2025 ~500K downloads/día, #2 App Store"
Outschool,Medium,Edtech,San Francisco CA,10,NEW,Payouts instructor + métodos de pago globales para padres,$229M+ pagado a instructores
Passes,Medium,Creator/Social,West Hollywood CA,10,NEW,Redundancia PSP + auth-rate en sub billing; payouts creator,Momentum 2025; pay-per-minute
Peek,Medium,Marketplace,San Francisco CA,10,YES,Redundancia multi-PSP + LPMs globales al consolidar operadores,Adquirió ACME+Connect&GO (Nov'25)
Praktika,Medium,Consumer AI,San Francisco CA,10,NEW,Smart-routing + IAP→web para users LatAm/India,"$20M rev LTM, 100 países (2025)"
Sleeper,Medium,Gaming/Ent,San Francisco CA,10,NEW,Auth-rate + LPMs en rails de depósito/payout,Expansión prediction markets/picks 2025-26
Topstep,Medium,Fintech,Chicago IL,10,NEW,Auth en eval fees + payouts,Plus500 en pláticas de adquisición 2025
TripleTen,Medium,Edtech,Cheyenne WY,10,NEW,Pix/OXXO/MX cards + installments via un API,División LatAm (MX/Chile/PR) 2025
True Classic,Medium,DTC,Los Angeles CA,10,NEW,Routing cross-border + LPMs + dunning en tier membership,Intl 25%+ del e-comm (UK/UAE/CA) 2025
Underdog Fantasy,Medium,Gaming/Ent,Brooklyn NY,10,NEW,Redundancia PSP + smart routing en rails de depósito,Triplicó valuación; prediction markets Sep'25
Adevinta,Enterprise,Classifieds,Norway/EU,9,NEW,Unificar pagos multi-marca multi-país clasificados,
Allegiant / Sun Country,Enterprise,Travel,US/Global,9,NEW,Fresh M&A = two stacks to consolidate going cross-border first time: unify acquirers + LatAm LPMs,~$1.5B Sun Country acquisition (May'26); +18 intl destinations (MX/Central America/Caribbean)
Alo Yoga,Enterprise,DTC,US/Global,9,NEW,"Premium DTC pushing into UK/France: localized checkout, EU LPMs, auth lift on cross-border",4 new UK stores + Champs-Elysees Paris flagship 2026
Anthropic,Enterprise,AI,US/Global,9,YES,Stripe-only risk at $30B during intl hypergrowth = redundancy/failover + smart routing,"Subs doubled early'26, ~$30B run-rate, Bengaluru office; Stripe single-PSP (Apr'26)"
Avianca,Enterprise,Airline,Colombia,9,NEW,Local acquiring + LPM/installment LatAm,
Babbel,Enterprise,Edtech,Germany,9,YES,Reduce auth-decline churn renewals + EU LPMs,
Basic-Fit,Enterprise,Gym chain,Netherlands,9,YES,Smart routing + dunning debit/card mix + failover,
BetterHelp (Teladoc),Enterprise,Healthtech,US/Global,9,NEW,LPMs for non-English expansion + dunning to stem paying-user losses,Launched France (first non-English mkt) 2025; intl rev +12% but lost ~5% payers
Bitget,Enterprise,Crypto exchange,Global,9,NEW,Un API add/route acquirers + LPMs globales,
Bitpanda,Enterprise,Crypto/investing,Austria,9,NEW,Card-auth lift + LPM breadth EU,
Bitso,Enterprise,Crypto exchange,Mexico,9,YES,LPM (Pix/SPEI) + on-ramp failover,
Bumble,Enterprise,Dating,US/Global,9,YES,Smart routing + dunning recovers involuntary churn; IAP→web reclaims store cut,Q1'26 rev -14%; paying users -21% YoY to 3.2M
Bunq,Enterprise,Neobank,Netherlands,9,NEW,Top-up auth routing + PSP failover EU,
Bybit,Enterprise,Crypto exchange,UAE,9,NEW,Acquirer failover + LPMs para recuperar deposits,
Chewy,Enterprise,DTC,US/Global,9,YES,$11B+ pet e-com w/ heavy Autoship subs entering first foreign mkt: port recurring billing without re-integrating,Announced first-ever international market launch (next few quarters)
Coinbase,Enterprise,Crypto,US/Global,9,YES,"Global card-deposit/on-ramp + USDC settlement: smart card-auth routing, redundancy, on/off-ramp",Citi partnership incl. 'payments orchestration' (Oct'25); Nium USDC across 190+ ctys
CoinDCX,Enterprise,Crypto exchange,India,9,NEW,"UPI + card routing, on-ramp optimization",
CoreWeave,Enterprise,Cloud,US/Global,9,NEW,Newly public multi-region cloud: unify cross-border collections + acquirer redundancy at IPO scale,"Public (Mar'25), $5.1B 2025 rev, $3.5B European expansion (UK HQ + Nordics/Spain DCs)"
Corsair Gaming,Enterprise,Gaming,US/Global,9,NEW,5+ brand storefronts EMEA-heavy = fragmented multi-PSP estate; consolidate to one API w/ routing+LPMs,"Closed Fanatec (Sep'24); 5+ brand storefronts; FY25 ~$1.47B, EMEA ~40%"
Coupang,Enterprise,E-comm marketplace,Korea,9,NEW,Routing expansión cross-border + Korean LPMs,
Coursera,Enterprise,Edtech,US/Global,9,YES,Routing + LPMs to convert huge India/global registered base into paid Coursera Plus,"Q1'26 consumer rev +10% 4th straight; record 7.6M new learners, 205M cumulative"
Cover Genius,Enterprise,Embedded insurance,Australia,9,NEW,Global LPMs + PSP redundancy 60 países,
Crunchyroll (Sony),Enterprise,Streaming,US/Global,9,YES,Single integration for APAC LPMs to monetize aggressive new-market localization,21M subs +25% YoY; launching Taiwan & South Korea 2026; Thai localization
CTS Eventim,Enterprise,Event ticketing,Germany,9,YES,Failover/redundancy en on-sale surge + LPMs,
Dafiti (GFG),Enterprise,Fashion e-comm,Brazil,9,NEW,Multi-country PSP consolidation + LPM,
Deezer,Enterprise,Music/audio,France,9,NEW,Auth-rate routing + IAP→web para margen,
DigitalOcean,Enterprise,Cloud,US/Global,9,YES,Public cloud on card-based self-serve for SMBs/devs worldwide: high decline volume = routing + recovery,"Q1'26 rev $258M +22%, crossed $1B run-rate; AI ARR +221%"
Discord,Enterprise,Gaming,US/Global,9,YES,"Migrate Nitro/Shop to smart-routed web checkout, cut store leakage, add emerging-mkt LPMs + redundancy","Hiring Dir Global Payments + eng (Jun'26) after confidential S-1 (~$15B, Jan'26)"
Domino's Pizza,Enterprise,QSR,Global,9,NEW,"Orquestación PSP global 90 mercados, redundancia",
Dream Games,Enterprise,Mobile puzzle,Turkey,9,YES,Web-shop billing + LPMs vs 30%,
eDreams ODIGEO,Enterprise,Flights OTA/sub,Spain,9,NEW,Routing + recuperar Prime renewals + redundancia EU,
ElevenLabs,Enterprise,AI,US/Global,9,YES,"Add redundancy + local acquiring (Pix, UPI) to lift intl auth pre-public-scrutiny","$500M Series D at $11B (Feb'26), 'eyes IPO'; $500M ARR, 14+ GTM cities; Stripe-only+IAP"
Eneba,Enterprise,Gaming,US/Global,9,NEW,Collapse Checkout.com+Nuvei into one API w/ smart routing + auto-failover,Raised €10M (Nov'25); runs Checkout.com AND Nuvei simultaneously
Etihad Airways,Enterprise,Airline,UAE,9,NEW,Unificar LPMs regionales + smart-route premium,
eToro,Enterprise,Investing/crypto,Israel/UK,9,NEW,Deposit-auth routing + acquirer redundancy global,
eToro US,Enterprise,Fintech,US/Global,9,NEW,"Consolidate cards, LPMs, fiat on/off-ramp into one layer w/ failover + higher deposit auth",CEO weighing payments/banking expansion; NY crypto Apr'26 (48 states)
Europcar,Enterprise,Car rental,France,9,NEW,Smart routing + redundancia + franchise payouts,
Faire,Enterprise,Marketplace,US/Global,9,NEW,"B2B two-sided flows pre-IPO: de-risk single-PSP, lift auth, standardize cross-border brand payouts",$5.2B tender (Nov'25) IPO warm-up; expanding to 14 EU countries
Fastned,Enterprise,EV charging sub,Netherlands,9,NEW,Multi-country PSP + tap-to-charge auth + dunning,
Figma,Enterprise,SaaS,US/Global,9,YES,Single-PSP (Stripe) dependency on global self-serve seats = cross-PSP redundancy + LPM expansion,Worked w/ Stripe May'25 to overhaul billing for local currencies; newly public
Flo Health,Enterprise,Healthtech,US/Global,9,YES,Heavy 30% IAP leakage → IAP-to-web migration + LPMs to monetize non-US pools,"300M+ registered/6M paid, $275M rev; #1 women's health, overwhelmingly mobile/IAP"
Fubo,Enterprise,Streaming,US/Global,9,NEW,PSP redundancy + routing for new SKUs + cross-border (US/Canada) sports-streaming launches,Launched skinny 'Fubo Sports' Sep'25; DAZN partnership; Canada expansion
G2A,Enterprise,Gaming,US/Global,9,NEW,Orchestrate multi-LPM/anti-fraud stack behind one API w/ failover on high-chargeback goods,Deployed Forter for fraud + optimization globally for 30M users
Gameloft,Enterprise,Mobile F2P,France,9,YES,"Un API web-store billing + LPMs, escapar 30%",
GetYourGuide (US),Enterprise,Travel,US/Global,9,YES,Recent single-PSP commitment scaling geos: redundancy + LPMs + tour-operator payouts,Partnered Checkout.com Jan'25; ~$194M raise for global+AI; NA expansion
Globoplay (Globo),Enterprise,OTT/video,Brazil,9,NEW,Pix/boleto/installment LPMs + retry routing,
Grindr,Enterprise,Dating,US/Global,9,NEW,UPI/Pix + PSP redundancy capture non-US users + protect new high-ARPU tier from auth drop-off,FY26 roadmap: India + Brazil expansion + premium AI 'Edge' tier
Guesty,Enterprise,Travel,US/Global,9,NEW,"Payments-company-in-a-PMS prepping IPO: routing, redundancy, LPMs, cross-border host payouts","$130M Series F at $900M (KKR), 2025 IPO intent; 80+ ctys; scaling GuestyPay"
HBX Group (Hotelbeds),Enterprise,B2B bedbank,Spain,9,YES,Collections cross-border + supplier payouts un API,
HelloFresh,Enterprise,Meal-kit sub,Germany,9,YES,Subscriptions/dunning + multi-country LPM + failover,
Hopper (HTS),Enterprise,Travel,US/Global,9,NEW,Multi-ctry multi-partner fintech: one layer scales each new partner geo without re-integrating PSPs,"~90% B2B, ~20 partners US/CA/JP/LatAm; Capital One carve-out (Mar'26)"
Hostaway,Enterprise,Travel,US/Global,9,NEW,"New payments product across 90+ ctys: one integration for local methods, failover, host payouts",$365M raise at $1B (Dec'24) for EU; 90+ ctys; launched embedded financial services
HungerStation,Enterprise,Food delivery,Saudi Arabia,9,NEW,KSA LPM (mada) + courier payouts + failover,
Indodax,Enterprise,Crypto exchange,Indonesia,9,NEW,Add LPMs + acquirer failover IDR on-ramp,
iQIYI,Enterprise,OTT/video,China,9,YES,IAP→web migration + SEA LPM routing,
JetBlue,Enterprise,Travel,US/Global,9,NEW,Deep transatlantic + LatAm push: EU local methods + multi-currency w/ smart routing on high-ticket fares,13 EU routes 2026 (Milan May'26) + 11-dest Ft Lauderdale LatAm buildout
JioSaavn,Enterprise,Music/audio,India,9,NEW,"UPI + card orchestration, recovery churn",
Kavak,Enterprise,Used-car marketplace,Mexico,9,NEW,Installment routing + auth big-ticket + payouts,
King,Enterprise,Mobile F2P,UK,9,NEW,Orquestar D2C web billing + auth routing,
Krafton,Enterprise,AAA/mobile,Korea,9,NEW,UPI + LPM coverage + PSP failover India/SEA,
Lime,Enterprise,Mobility,US/Global,9,YES,29-ctry operator going public under cost pressure: routing improves the unit economics investors scrutinize,Filed Nasdaq IPO May'26; 230 cities/29 ctys; going-concern doubt
Lycamobile,Enterprise,MVNO,UK,9,NEW,"Smart routing + LPMs, reduce failed top-ups",
Meesho,Enterprise,Social-commerce,India,9,NEW,UPI/card routing + reseller payout orchestration,
Melia Hotels,Enterprise,Hotels,Spain,9,NEW,Multi-currency LPMs + PSP failover global,
Midjourney,Enterprise,AI,US/Global,9,YES,$500M across 150+ ctys on single PSP = concentration risk; failover + per-market routing,~$500M rev across 150+ ctys; Stripe's most globally distributed merchant
miHoYo / HoYoverse,Enterprise,AAA gacha,China/Singapore,9,NEW,Orquestar web top-up + LPMs + fraude/chargeback,
Minor Hotels,Enterprise,Hotels,Thailand,9,NEW,LPMs APAC/EMEA + acquirer redundancy,
Moomoo (Futu),Enterprise,Fintech,US/Global,9,NEW,One integration for per-market LPMs + card acquiring + routing to fund accounts in each new ctry,Crypto to Texas (May'26); Canada funded accts +150% YoY; >50% accts outside HK
MoonPay,Enterprise,Crypto,US/Global,9,NEW,Card-funded on-ramp at IPO scale across 160+ ctys: multi-acquirer auth routing + failover,Launched bank/fintech tokenized-asset platform (May'26); acquisition spree; IPO prep
MSC Cruises,Enterprise,Cruise,Switzerland,9,YES,Auth routing high-value + LPMs por mercado,
Navan,Enterprise,Travel,US/Global,9,YES,Post-IPO margin scrutiny + booming card volume → auth lift + cross-border cost = defensible take-rate,IPO'd Nasdaq Oct'25 (~$960M); card volume $3.7B +35% YoY
Netflix,Enterprise,Streaming,US/Global,9,YES,Smart routing + dunning/retry to cut involuntary churn when price hikes spike declines,"US price hike Jan'26 (Std $19.99, Prem $26.99); ARPU/retention focus"
Netmarble,Enterprise,Mobile RPG/gacha,Korea,9,NEW,Smart routing auth + global LPMs hacia Occidente,
Nexon,Enterprise,F2P MMORPG,Japan/Korea,9,NEW,Cross-PSP redundancy + LPM expansion global,
Norwegian Cruise Line,Enterprise,Travel,US/Global,9,NEW,High-ticket multi-currency global bookings: lift approvals + PSP redundancy/LPMs,FY25 rev $9.8B; 17 new ships through 2037 across 3 brands
Notion,Enterprise,SaaS,US/Global,9,YES,In-house billing team owns intl currency = direct buyer; lift auth on global seat renewals,'Monetization Foundations' eng team building intl currencies/self-serve; $42B tender
OKX,Enterprise,Crypto exchange,Global,9,NEW,Smart routing + redundancia regional acquirers,
OTTO Group,Enterprise,E-comm marketplace,Germany,9,YES,Routing optimization + seller payouts + redundancia,
Paramount+,Enterprise,Streaming,US/Global,9,NEW,Auth-rate optimization + unified billing to de-risk price hike + complex platform merger,Price increase for new subs Jan'26; pending WBD merger
PedidosYa,Enterprise,Food/q-commerce,LatAm,9,NEW,Multi-country LPM + cost reduction + payouts,
Peloton,Enterprise,Fitness,US/Global,9,NEW,Dunning + decline-recovery + new-mkt LPMs + IAP→web for app subs,"Turnaround: renewed intl subscriber expansion as early as 2026, AI churn reduction"
Preply,Enterprise,Edtech,US/Global,9,NEW,Two-sided marketplace: one API for global pay-in LPMs + tutor payout orchestration,$150M Series D at $1.2B (Jan'26) for global growth in 180 ctys
QuintoAndar,Enterprise,Proptech,Brazil,9,NEW,Rent collection + dunning + landlord payouts,
Remitly,Enterprise,Fintech,US/Global,9,YES,Card-funded transfers into new high-risk corridors: auth optimization + redundancy = direct revenue lever,2026 guidance ~$1.95B; expanding Saudi Arabia + Brazil; scaling Wallet & Card
Restaurant Brands Intl,Enterprise,QSR,Canada,9,NEW,Consolidación PSP cross-border + auth lift,
Riot Games,Enterprise,Gaming,US/Global,9,NEW,"In-house payments build + card-only checkout = gap for routing, LPMs, failover",Hiring Mgr SWE Payments 'Checkouts' team; RP card/PayPal-only in-client
Robinhood,Enterprise,Fintech,US/Global,9,YES,Onboard per-market LPMs + lift card-deposit auth w/ failover as it funds millions of new accounts,Dec'25 Indonesia M&A → SE Asia; 2026 EU crypto via Bitstamp; $5.6B net deposits Feb'26
Roblox,Enterprise,Gaming,US/Global,9,YES,"Accelerate IAP→web w/ one API across APAC/RoW LPMs, lift auth, failover, fraud orchestration",+25% Robux on web to steer off IAP; hiring 'SWE Payments Foundation'
Secretlab,Enterprise,Gaming,US/Global,9,NEW,"Replace region-by-region PSP patchwork w/ one integration: unify checkout, lift auth, new-mkt LPMs",Per-region storefronts each w/ different PSP/BNPL roster; India/SEA push
Shahid (MBC),Enterprise,OTT/video,Saudi Arabia,9,NEW,LPM coverage + PSP failover en picos,
Singapore Airlines,Enterprise,Airline,Singapore,9,NEW,Auth routing premium + APAC LPM breadth,
Singlife,Enterprise,Digital insurance,Singapore,9,NEW,Smart routing + failover auto-pay y wallet top-ups,
Sixt,Enterprise,Car rental,Germany,9,NEW,Auth en holds/deposits + LPMs inbound,
Skims,Enterprise,DTC,US/Global,9,NEW,"$1B+ DTC opening multi-region storefronts: unified global checkout, LPMs, cross-border cost pre-IPO",$225M at $5B (Nov'25) for intl; UK flagship + Dubai 2026; >$1B net sales
Snyk,Enterprise,Security,US/Global,9,NEW,"Developer-first security self-serve global; IPO prep = billing scrutiny, PCI reduction, redundancy","Planning 2026 IPO; ~$2B mark, $435M cash"
StockX,Enterprise,Marketplace,US/Global,9,NEW,Global two-sided marketplace: orchestrate auth + LPMs across 170 ctys + failover,Sellers in 170+ ctys; launching StockX Live (Jun'26); only 67% rev US
StubHub,Enterprise,Marketplace,US/Global,9,NEW,LatAm+APAC is Yuno's home turf: lift auth + local methods where growth concentrates,"Newly public (Sep'25); intl growth outpacing NA, esp. LatAm + APAC; 48 currencies"
Substack,Enterprise,Creator,US/Global,9,YES,"Two-sided global payouts on one PSP: redundancy/failover, routing, LPMs + cross-border payouts",$100M Series C at $1.1B (Jul'25); $600M+/yr creator payouts; single Stripe both sides
Sweat,Enterprise,Fitness,US/Global,9,NEW,IAP-to-web migration + LPMs for its non-US majority,"30M+ subscribers, 145 ctys, 8 languages; heavy iOS/Android IAP"
Take-Two (Rockstar/2K),Enterprise,Gaming,US/Global,9,YES,"Global GTA Online 2 launch w/ massive recurring microtxn needs auth optimization, LPMs, redundancy day one",GTA 6 / GTA Online 2 launching Nov'26; Shark Cards pulled $5B
Trade Republic,Enterprise,Brokerage/neobank,Germany,9,NEW,Deposit-auth lift + acquirer redundancy,
Transak,Enterprise,Crypto,US/Global,9,NEW,Pure-play on-ramp in MetaMask: orchestrate card acquirers behind buy button for higher auth + redundancy,$16M from Tether/IDG; exclusive MetaMask on-ramp powering 100M+ users
Traveloka,Enterprise,OTA/super-app,Indonesia,9,NEW,Orquestar SEA LPMs + failover,
TravelPerk (US),Enterprise,Travel,US/Global,9,NEW,Rapid US+global build w/ fresh payments stack: orchestration prevents single-PSP lock-in + local methods,$200M Series E at $2.7B; aggressive US expansion; acquired payments firm Yokoy
Tripledot Studios,Enterprise,Gaming,US/Global,9,NEW,Freshly merged 12-studio portfolio runs fragmented PSPs; consolidate billing w/ one integration + LPMs,"Closed $800M acquisition of AppLovin games (Jun'25); 12 studios, 25M DAU"
Turkish Airlines,Enterprise,Airline,Turkey,9,NEW,LPM coverage + multi-currency + redundancia,
Valve / Steam,Enterprise,Gaming,US/Global,9,NEW,PSP redundancy w/ auto-failover so no single bank cuts off a region + routing + LPMs + chargeback orchestration,PayPal acquirer terminated Steam in most regions (Jul'25); chargeback pressure
Vidio (Emtek),Enterprise,OTT/video,Indonesia,9,NEW,Local APMs + failover fragmentación ID,
Vivid Seats,Enterprise,Marketplace,US/Global,9,NEW,"Cost pressure + new intl launches: routing-driven cost reduction, redundancy, local methods",Launching Europe + Japan; acquired Vegas.com; cost-cutting to cash-generative 2026
ViX (TelevisaUnivision),Enterprise,OTT/video,Mexico,9,NEW,"LatAm LPMs (OXXO, SPEI) + IAP→web",
Voodoo,Enterprise,Hybrid-casual,France,9,YES,Web-store migration + routing al volverse core IAP,
Vuori,Enterprise,DTC,US/Global,9,NEW,Rapid multi-ctry rollout + China/UK = fragmented-PSP + LPM problem one orchestrator solves,E-com in 11 new ctys; first Asia stores (Seoul/Beijing); IPO chatter 2026
Webull,Enterprise,Fintech,US/Global,9,NEW,One integration for card acquiring + LPMs to fund accounts across 22 new EEA markets,EEA passport for 22 EU markets (Q1'26); net deposits $8.6B +91% YoY
WeightWatchers,Enterprise,Healthtech,US/Global,9,NEW,Turnaround lives on retention: dunning + decline-recovery to stop involuntary churn,"Emerged from Ch.11 Jul'25, relaunched as GLP-1 telehealth subscription"
Wellhub (Gympass),Enterprise,Corporate wellness,Brazil,9,YES,Multi-PSP redundancy + local acquiring recurring,
Wildlife Studios,Enterprise,Mobile gaming,Brazil,9,NEW,Web-store routing + auth vs IAP leakage,
WorldWinner,Enterprise,Gaming,US/Global,9,NEW,One API for high-volume entry-fee w/ failover + chargeback orchestration + web checkout vs 30%,Pays $2M+ weekly across 45 states; runs FanDuel Faceoff
Yum! Brands,Enterprise,QSR,Global,9,NEW,"Smart routing + global LPM en franquicias, auth lift",
Zynga (Take-Two),Enterprise,Gaming,US/Global,9,NEW,Massive global mobile portfolio shifting to D2C: orchestration to escape 30% + route globally,Take-Two emphasizing D2C over advertising for mobile
ARB Interactive (Modo),Medium,Gaming/Ent,Miami FL,9,NEW,Redundancia PSP en rails coin-purchase + fraude,Adquirió Publishers Clearing House (Jun'25)
Baseten,Medium,AI,US/Global,9,NEW,Hypergrowth metered inference needs PSP failover + smart routing so declines never stall revenue,"$1.5B round at ~$13B (Jun'26); ~$600M run-rate +1,900%; usage-based billing"
Bloom Nutrition,Medium,DTC,Los Angeles CA,9,NEW,Crecer sub share via dunning/retry; LPMs + auth-rate,Nutrabolt +$160M (Ene'25); +100% YoY
Boatsetter,Medium,Marketplace,Fort Lauderdale FL,9,NEW,Split payouts a owners y captains via un API,Bookings high-ticket + payouts duales
Bubble Skincare,Medium,DTC,New York NY,9,NEW,LPMs intl + local acquiring; sub replenishment,Cruzó $100M + expansión global 2025
